row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
60,60,13,2,1,short,5.163375417688364,6.155039690192686,17.2,31.200000000000003,5.617770615080224,5.862255762147116,5.414454342476627,6.531064263624203,6.909131777917393
61,44,167,2,3,short,5.611243926049621,6.152851539548064,25.0,29.3,4.527852328613426,5.54126374869991,5.233434418788193,7.0706955089670185,6.675777281295711
62,49,112,2,2,short,5.194679870200569,5.657719787791392,14.5,34.1,5.443740840160841,6.216415527440014,5.998390458646991,6.434094884896403,6.659431670711148
63,61,256,2,1,short,5.641749163981984,6.0701281960764675,25.0,28.400000000000002,6.4740468652168675,6.251359863565196,5.749445497038475,6.647123505001727,6.425149676020097
64,56,157,2,2,short,5.624127547621073,6.225955251311893,25.0,30.6,5.43419014374192,5.542537784211851,5.60349548325082,6.699173853601546,6.860112667002499
65,48,477,2,0,short,5.201369575443295,5.956817301523417,12.0,31.200000000000003,5.15553506696861,5.758389614653239,5.785045708647563,6.266322613525197,6.615785213304072
66,97,277,3,0,short,5.635702757579998,6.1418166860614365,12.100000000000001,30.8,5.9902704121344925,6.444450799389559,6.401875419385702,6.792021835806162,6.7724464488296405
67,71,369,3,2,short,5.275282268409143,5.7031552561482215,17.900000000000002,31.3,5.242794730607905,5.60967705052518,5.6913570891551535,6.28923581898357,6.438209524555302
68,69,551,3,3,short,5.33113760733703,5.5446358903385775,12.0,28.3,5.14851233853558,5.84752068864492,6.030825302468848,6.530046777007338,6.238223054135618
69,90,741,3,4,short,5.7590644804473525,6.489191233242684,12.0,29.0,5.402041892180762,6.373658352431043,6.479589588463782,7.222863142709425,6.7360064612318
