window_index,stage_name,original_trial_number,fit_status,usable,unusable_reason,elapsed_seconds,model,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
476,pre_SC,43,returned,True,,0.040993281989358366,one_torus,294,True,2,`ftol` termination condition is satisfied.,23,2.8666950838470022,0.0001073248358810521,,792.3722534179688,0.003304388795075685,0.09437056059249369,0.07212849377274405,0,0,0.008905802706541522,0.011501310097047097,0.8741496598639455,0.9993372908544017,0.1424616661691226,0.06802721088435375,3.5786743923439177,1.469651100098515,1.0822831578562067,0.5098239166102293,0.20936894440737694,0.06434297185041221,0.13493698429117562,0.20357146770099036,-0.43850360716242304,0.7832027128398013,-0.4408039213815599,0.5530651806823007,0.6217661335594712,0.5545500708442473,0.708402069746182,-0.0006210940069795516,-0.7058088422650711
477,post_SC,43,returned,True,,0.04321577097289264,one_torus,294,True,4,Both `ftol` and `xtol` termination conditions are satisfied.,38,3.2715366375346595,0.11705747103770978,,1177.083740234375,0.0034710769029428724,0.11788597314846395,0.09641948280129857,0,0,0.013897102665160364,0.010020858381421702,0.8979591836734694,0.9996102695851223,0.1864593419850368,0.03741496598639456,4.043158724332538,1.4536563565863965,1.1179706394792774,0.7538847152802923,0.27104780772153253,-0.8210687254093867,-0.9263222696158684,-0.9354663266799231,0.4298598269402167,-0.7952012905082073,0.4276393769948155,0.5621627587919814,0.6063440090282664,0.5624233061857574,-0.7065363131563683,-0.0013602531246648154,0.7076754820543405
478,pre_GO,43,returned,True,,0.03579744603484869,one_torus,294,True,2,`ftol` termination condition is satisfied.,21,2.9512702354318425,0.0009505354371865563,,1129.737548828125,0.003255599671260692,0.11184861599464412,0.08803920904471686,0,0,0.01251011289991736,0.009878963141499442,0.8877551020408163,0.9994015414165172,0.2049707350216908,0.05102040816326531,4.246923110917565,1.3309714958057446,1.1086473623273596,0.8704949516255839,0.2728102057882869,1.1197686928862596,1.1305919618095712,1.0498109544260312,0.4258139269708609,-0.7985792584003942,0.42538649208673707,-0.5646446520145353,-0.6018896028145291,-0.5647170291156028,0.7070070130821305,0.00027216799903338225,-0.7072064828430693
479,post_GO,43,returned,True,,0.05427144793793559,one_torus,294,True,2,`ftol` termination condition is satisfied.,35,2.733718752734451,0.0008473481714444675,,790.7598876953125,0.004078658500407133,0.10473873452206654,0.07936147187336699,0,0,0.010970202509283933,0.015087952025176106,0.8639455782312925,0.99895767133046,0.24316310136836,0.07142857142857142,3.778652489063336,1.1477232011903427,0.9321157247263954,0.918828858234157,0.2790839331139398,-0.6389168575494567,-0.6654406126264052,-0.6202831314959444,-0.4245392844644627,0.8014595648436403,-0.4212231734680742,0.5647421450683895,0.5980384192137532,0.5686970711423344,0.707695347962823,0.0035517691229286735,-0.7065087964108276
480,pre_TC,147,returned,True,,0.03821453591808677,one_torus,294,True,2,`ftol` termination condition is satisfied.,35,2.2089071179563167,0.36402489432392415,,864.707275390625,0.0021085436010280373,0.07875029407756971,0.061063045821697026,0,0,0.006201608817303712,0.009749798839337177,0.8503401360544217,0.9995510058975314,0.1759136174796342,0.0782312925170068,3.7853101938668443,1.1583087634342455,1.0184922657702822,0.6658876094858279,0.20376228473413377,-0.696560706205601,-0.8102524648409053,-0.8748170627510559,-0.42612006827137755,0.7976825166472569,-0.4267602254793281,0.5653176419773517,0.6030758768897514,0.5627747776693837,0.7062843981597149,-0.001445457675809968,-0.7079267331908556
481,post_TC,147,returned,True,,0.033590386039577425,one_torus,294,True,2,`ftol` termination condition is satisfied.,21,2.2635339526798406,0.0030475659194699016,,2981.5810546875,0.0013251920849960109,0.11592819168505614,0.09038145986674803,0,0,0.01343934562736712,0.0073073024452674695,0.9115646258503401,0.9999035123772294,0.4021093760221781,0.047619047619047616,6.279411238067715,1.7652846257705428,1.202462057435386,2.525010134726464,0.7098374993702503,1.39668944804007,1.3100065402373897,1.1572301876477877,-0.4167310776035443,0.807366637704988,-0.4177251743431475,0.5731173471624234,0.5900451143010755,0.5686679782341688,0.7056002517992658,-0.0024239243943518203,-0.7086059619064345
482,pre_SC,147,returned,True,,8.15594287298154,one_torus,294,True,2,`ftol` termination condition is satisfied.,4768,2.593827520768155,0.01835435631184659,,1061.1387939453125,0.002607922637703699,0.09701966773179391,0.07722975922973062,0,0,0.009412815926787691,0.009372131517883837,0.9013605442176871,0.9995088912756289,0.1969732511135862,0.047619047619047616,4.145712000453559,1.4621919729313448,1.1258242239535536,0.8165943709101436,0.28801270666054535,0.4394640963450678,0.3790491384415569,0.2705548945142828,-0.4322455198030349,0.7912275522464219,-0.432576896257599,-0.55822416490656,-0.6115211748527987,-0.560738472390674,-0.7082016607738657,-0.00090181580079698,0.7060096276988012
483,post_SC,147,returned,True,,0.03352825692854822,one_torus,294,True,2,`ftol` termination condition is satisfied.,29,2.8177053705889055,0.08617267775240602,,1031.30517578125,0.002405794492993272,0.091864813285795,0.07618563245291242,0,0,0.008439143920033977,0.008415493970771636,0.8979591836734694,0.9995800567567297,0.12099685983807928,0.05102040816326531,4.741813529389031,1.2945040011294264,1.326485516085005,0.5737445469939136,0.15663091918452307,0.29569753706097907,0.15807865796767695,0.002311369103903933,0.42408681855921165,-0.8005862351241259,0.4233344427916093,0.5656230467827493,0.5992169815510264,0.5665770715154971,-0.7072629915885674,-0.0008301503877347157,0.7069500488560163
484,pre_GO,147,returned,True,,0.02931414800696075,one_torus,294,True,2,`ftol` termination condition is satisfied.,19,2.5381769698904737,0.0006928130847869284,,636.443359375,0.004900351435720861,0.1029958741969445,0.08571146926252493,0,0,0.01060815010159282,0.011320558859574422,0.8639455782312925,0.9992476028575,0.23018968380428276,0.061224489795918366,3.233008957467866,1.0918765573327296,0.832335371414654,0.7442053096561722,0.2513387194858076,-0.2387923252134441,-0.24954034268346162,-0.21800556208046262,-0.4301612914434475,0.7909209505135926,-0.43520720741017377,0.5622652037957317,0.6118943902889268,0.5562760966745621,0.706271267957649,-0.005413425023204613,-0.7079206105807436
485,post_GO,147,returned,True,,0.04404198203701526,one_torus,294,True,2,`ftol` termination condition is satisfied.,40,1.6176277306061886,1629416.8709295813,,902.6676025390625,0.002910761875580858,0.09453521180704927,0.07485609399584177,0,0,0.008936906271403667,0.013618907735710456,0.8605442176870748,0.999293134792943,0.3778402434452243,0.05442176870748299,3.1358050738297014,0.9316642592292268,0.6326539325123671,1.184833352492962,0.35202025051649793,-0.286636485563426,-0.4229277114884318,-0.5201091826210795,0.41859625657389793,-0.8059621487936385,0.4185716052166256,-0.5698067785591648,-0.5919670649867071,-0.5699958149645051,0.7071756564592598,9.317644210610406e-05,-0.7070378930634239
