macro_f1,accuracy
0.30021712264305095,0.31734006734006737
0.28619003971797363,0.30387205387205385
0.31695415254396414,0.33164983164983164
0.2825157066018818,0.29713804713804715
0.2985684990916951,0.3148148148148148
0.30781707694594923,0.3223905723905724
0.2899203360820813,0.30723905723905726
0.28751578503263703,0.3063973063973064
0.2959205853451177,0.3106060606060606
0.3021641485053532,0.3207070707070707
0.3042772176623388,0.3223905723905724
0.31284280166186695,0.3282828282828283
0.3027901406966694,0.31986531986531985
0.30076943825744534,0.3181818181818182
0.31846591865353174,0.33585858585858586
0.30522736571629017,0.31902356902356904
0.28444691011323187,0.2988215488215488
0.30189790074309714,0.3181818181818182
0.3071163793318041,0.3207070707070707
0.28636145257692086,0.30134680134680136
0.2771788351344135,0.2904040404040404
0.2907407081788007,0.30976430976430974
0.3191858895132178,0.335016835016835
0.29529633502267877,0.30808080808080807
0.2885961642042756,0.3055555555555556
0.28052493186504485,0.3005050505050505
0.28435359133403676,0.3021885521885522
0.289795513225564,0.3047138047138047
0.2793839237924103,0.2962962962962963
0.28070827166098095,0.2988215488215488
0.3062814358297736,0.32154882154882153
0.2899478533049747,0.30892255892255893
0.307272942314842,0.32323232323232326
0.2746581289976529,0.2904040404040404
0.2765826489935041,0.2946127946127946
0.28578124194636473,0.3047138047138047
0.27445389257246683,0.2904040404040404
0.29755896667047055,0.3106060606060606
0.3169332572578103,0.3324915824915825
0.29884879800184316,0.3164983164983165
0.30770897764244176,0.3265993265993266
0.28849007941133764,0.3021885521885522
0.27980544121228396,0.2996632996632997
0.30346623715251697,0.3207070707070707
0.3030084654780682,0.31902356902356904
0.27871110025259216,0.2937710437710438
0.2822851641379882,0.3055555555555556
0.29992514172412105,0.3207070707070707
0.27608511911530115,0.2937710437710438
0.2983940040381013,0.3164983164983165
0.2873834611296355,0.3047138047138047
0.3027159723636405,0.3181818181818182
0.27837477800398475,0.29124579124579125
0.27766791592275264,0.29292929292929293
0.29792531703800457,0.3164983164983165
0.31348860897746356,0.3291245791245791
0.30062087429867684,0.31734006734006737
0.28933430529907167,0.3063973063973064
0.2772787462905928,0.29208754208754206
0.2811761727463078,0.29713804713804715
0.30673761915804115,0.3282828282828283
0.2987594031529805,0.31902356902356904
0.30009506146918036,0.3148148148148148
0.292188979890611,0.30892255892255893
0.32665362920707874,0.34595959595959597
0.28381453338936363,0.2996632996632997
0.2863324352520205,0.3055555555555556
0.2819611013592185,0.3021885521885522
0.29313781209495443,0.30723905723905726
0.28696405922492363,0.3047138047138047
0.30259078399384104,0.31902356902356904
0.29488484296780904,0.31313131313131315
0.29959385611387374,0.3181818181818182
0.2880618798950069,0.3021885521885522
0.2987719147663244,0.31902356902356904
0.30574853069967,0.32154882154882153
0.26921421691647013,0.28114478114478114
0.3239391418610318,0.3367003367003367
0.30520122259141647,0.32491582491582494
0.3095778091302784,0.32575757575757575
0.29976071928925757,0.3148148148148148
0.31056823546291284,0.3274410774410774
0.3101809541126831,0.3282828282828283
0.27931823431023567,0.2996632996632997
0.29054647789455657,0.3063973063973064
0.26191195550151236,0.27441077441077444
0.27814975402437964,0.2962962962962963
0.2865519240771464,0.30387205387205385
0.27803532226577793,0.2946127946127946
0.29519389635830545,0.31313131313131315
0.3067418386195148,0.31902356902356904
0.292488212852239,0.30808080808080807
0.3184844810254702,0.33585858585858586
0.2821778783209861,0.2996632996632997
0.3017899960073051,0.3164983164983165
0.31086086968369614,0.32323232323232326
0.27865816945268446,0.2946127946127946
0.28640043853098823,0.3021885521885522
0.2933719792559901,0.3106060606060606
0.30424741321150206,0.32154882154882153
0.27231090607648567,0.2878787878787879
0.2905459538445709,0.30976430976430974
0.2929457952094529,0.30808080808080807
0.29169778772627303,0.30976430976430974
0.2946452595338825,0.31397306397306396
0.275157198430211,0.2895622895622896
0.31466803223185236,0.32996632996632996
0.3071450849569803,0.3223905723905724
0.2963468468836404,0.3122895622895623
0.28568410924291904,0.3005050505050505
0.31018333677360194,0.32491582491582494
0.2877691003903144,0.30723905723905726
0.2848986629315439,0.3055555555555556
0.3140812606370115,0.3291245791245791
0.3135745966406666,0.3291245791245791
0.2864881932794254,0.3021885521885522
0.3146671239494329,0.3291245791245791
0.29211917591018355,0.3106060606060606
0.3103055703113813,0.32491582491582494
0.28236765145666526,0.2962962962962963
0.3002091686583461,0.31902356902356904
0.29979717533171435,0.31313131313131315
0.2788128616412677,0.2937710437710438
0.2864467919693107,0.3055555555555556
0.292875971628868,0.30723905723905726
0.29964073352755877,0.3164983164983165
0.2844828521923112,0.3021885521885522
0.27322460706847224,0.28535353535353536
0.2718114582497864,0.2887205387205387
0.30758471246681046,0.32407407407407407
0.29764464168257604,0.31397306397306396
0.2840403003707294,0.30134680134680136
0.3113097376449971,0.3274410774410774
0.2725729225654505,0.2887205387205387
0.2915100363353916,0.30892255892255893
0.28217359010348814,0.29797979797979796
0.2901292573546112,0.30723905723905726
0.28484739111180096,0.3005050505050505
0.3147568309551382,0.3324915824915825
0.3070478222806188,0.3223905723905724
0.30439270056705797,0.31986531986531985
0.3003966327042121,0.31313131313131315
0.2950217649995475,0.3106060606060606
0.2923445576590401,0.30808080808080807
0.28235239405992,0.2937710437710438
0.2983588715043757,0.31734006734006737
0.3096430909453955,0.32575757575757575
0.29018788717838734,0.3055555555555556
0.29726873876284027,0.3148148148148148
0.28615568110396733,0.2996632996632997
0.2746987437270594,0.29208754208754206
0.27368227305717313,0.29208754208754206
0.2884239855792992,0.3047138047138047
0.286617131326042,0.3005050505050505
0.27784149257745844,0.29797979797979796
0.28758294524451117,0.30303030303030304
0.29418604640115414,0.30976430976430974
0.266700452477556,0.281986531986532
0.3175466450377353,0.32996632996632996
0.2934624089652363,0.3148148148148148
0.2814390832319185,0.2996632996632997
0.3066179749717674,0.3265993265993266
0.2874122751036469,0.30134680134680136
0.2882255286080677,0.3047138047138047
0.28818877699036977,0.30303030303030304
0.2982474362700129,0.3148148148148148
0.3005717549828284,0.3148148148148148
0.2874442739062238,0.3021885521885522
0.2792123164008495,0.2937710437710438
0.29222332824233394,0.30723905723905726
0.2642669763176688,0.281986531986532
0.28020641209140473,0.29545454545454547
0.28677947509518625,0.2988215488215488
0.29119110838407275,0.3114478114478115
0.2870582370987817,0.30387205387205385
0.2940392604872029,0.30976430976430974
0.30593032394427183,0.31734006734006737
0.28544157104262147,0.3047138047138047
0.2769584767351652,0.29292929292929293
0.31599171946110943,0.32996632996632996
0.32002544217133616,0.3324915824915825
0.27994990906609435,0.2996632996632997
0.32217393067691086,0.3383838383838384
0.296507888011134,0.30976430976430974
0.31340983835481073,0.32996632996632996
0.28686660914915113,0.3055555555555556
0.2996484999102062,0.3148148148148148
0.298388941622797,0.3148148148148148
0.2935180798583467,0.3114478114478115
0.285986621961351,0.3021885521885522
0.29722666493006433,0.3122895622895623
0.2819918596682401,0.2988215488215488
0.28522821195309606,0.30387205387205385
0.2974486844831648,0.3122895622895623
0.2903949039062027,0.30976430976430974
0.29776494936827785,0.31313131313131315
0.29128147983631975,0.30723905723905726
0.2860766533244353,0.3021885521885522
0.29359183712544407,0.3055555555555556
0.27730533511128136,0.2878787878787879
0.2795650301137252,0.29797979797979796
0.28224081380202776,0.29545454545454547
0.3178844888645234,0.33080808080808083
0.2808645628020323,0.2996632996632997
0.2778858652590666,0.2946127946127946
0.28988418523684345,0.3063973063973064
0.29812660184495365,0.31313131313131315
0.29178306809924215,0.3122895622895623
0.2982573798900205,0.3148148148148148
0.3092247766728838,0.32575757575757575
0.29877067108259864,0.31313131313131315
0.2848796270564409,0.2996632996632997
0.3102663962260827,0.32491582491582494
0.30938016028265397,0.3223905723905724
0.3179801245649632,0.3333333333333333
0.2863708772459948,0.30303030303030304
0.301053523512115,0.3164983164983165
0.280441362004965,0.3005050505050505
0.3028208879579927,0.3181818181818182
0.29861245865823727,0.31734006734006737
0.2996400222159407,0.31397306397306396
0.28400398943504274,0.3005050505050505
0.27863028660561623,0.2937710437710438
0.2901879330338016,0.3055555555555556
0.29896477466391574,0.31397306397306396
0.31440070503178114,0.33164983164983164
0.2844422880924243,0.2988215488215488
0.2983330908188401,0.31313131313131315
0.3050913475824926,0.31986531986531985
0.30068428790669266,0.31734006734006737
0.29571075996058055,0.30976430976430974
0.2921901533753899,0.3114478114478115
0.28200456226676546,0.30387205387205385
0.28200484982241014,0.2988215488215488
0.2905338479575161,0.30976430976430974
0.2881693481070015,0.3021885521885522
0.2970310477207062,0.31397306397306396
0.3046770918302031,0.31902356902356904
