stage_name,feature,n,mean,sd,median,q25,q75
pre_SC,mse,196,0.007978318025653923,0.0024288180975455013,0.007507678672471385,0.006152731141378854,0.009329427185453446
pre_SC,mean_error,196,0.011028349779852066,0.0026131214274520823,0.010897303268406936,0.009184865823715188,0.01246705735839099
pre_SC,frac_inside,196,0.869828543662363,0.033424754905106734,0.8741496598639455,0.8494897959183674,0.8945578231292517
pre_SC,normal_x,196,-0.42878459920727247,0.0076568746011208486,-0.42874023676623635,-0.43335366080410415,-0.4245415159062515
pre_SC,normal_y,196,0.7954385371521829,0.006277246234430994,0.7954743698990219,0.7916106768063289,0.7993211077720409
pre_SC,normal_z,196,-0.42808835355450625,0.008028707063772744,-0.4288305942212305,-0.43258127512447714,-0.4238597184926422
pre_SC,u_x,196,0.5629323956319501,0.005065157363986861,0.5628191917760826,0.5598609002815657,0.5659679424787991
pre_SC,u_y,196,0.6059055507426193,0.00823681907331532,0.6059228443975011,0.6008936011456179,0.6110116628835999
pre_SC,u_z,196,0.5620228068074199,0.004799973309086336,0.561836907094263,0.5587359329897963,0.5657177110893401
pre_SC,v_x,196,0.7065120400975212,0.002794448035350388,0.7068022557510986,0.705720961287985,0.7076903142774456
pre_SC,v_y,196,5.529473757988912e-06,0.007039043870793044,-0.0001285923489826868,-0.0029495826316585996,0.0021078335452825586
pre_SC,v_z,196,-0.7076558283300051,0.002633770781581381,-0.7074036562008734,-0.708479555564158,-0.7065188233913251
post_SC,R1,198,4.043465854787564,1.005945207540163,3.8496256940970226,3.3256602702563924,4.640450235887111
post_SC,R2,198,1.237339122546479,0.29089485773102564,1.1927488446162953,1.0418639190398895,1.3649674773391753
post_SC,band_half_width,198,1.0854304274238247,0.30606415013166743,1.0252915607842763,0.8653267030604874,1.2565266806141069
post_SC,mse,198,0.008909549473669683,0.0026251941841106082,0.008455137414523813,0.0070867485095350135,0.010256570320998002
post_SC,mean_error,198,0.011825098045293215,0.0029416844332778424,0.01146113121435038,0.010099959655798234,0.013246788443801998
post_SC,frac_inside,198,0.8660585446299732,0.03271152454443578,0.8707482993197279,0.8469387755102041,0.8877551020408163
post_SC,normal_x,198,-0.4283705340415173,0.007821205367411788,-0.4272067303340201,-0.4326816661013902,-0.42334901539814956
post_SC,normal_y,198,0.7970530908804754,0.006623519116307314,0.79820078758544,0.7936073979139736,0.8011537356566729
post_SC,normal_z,198,-0.42548068045678117,0.008189838416649527,-0.4256068268717398,-0.42990108945365113,-0.42165113751442684
post_SC,u_x,198,0.5634693127330819,0.005231530882793934,0.5644242474053391,0.5608255975947286,0.5666308289989708
post_SC,u_y,198,0.6037669497534515,0.008673154059772478,0.6023889128414357,0.5982854159583826,0.6084201147885646
post_SC,u_z,198,0.5637724187885071,0.005150086474792641,0.5641297874463425,0.5610051749504249,0.5668893867822454
post_SC,v_x,198,0.70633322837106,0.0025156785612864764,0.7068021189221141,0.7053939296522441,0.7077634655688545
post_SC,v_y,198,0.0017608156387379369,0.007106488172830883,0.0007835612366889066,-0.0012009301809625325,0.0038674268431277276
post_SC,v_z,198,-0.7078331292109319,0.002453125199049116,-0.7073942565228479,-0.7088046644513213,-0.7064491162554545
pre_GO,R1,196,3.9508129809824335,0.9059999578606287,3.692487458769482,3.3489817904452757,4.410365352317605
pre_GO,R2,196,1.2737412860369866,0.22852778203026408,1.247993879623358,1.1279252074224848,1.4038218473615616
pre_GO,band_half_width,196,1.0585652435006179,0.26368302514498404,1.0143798765214331,0.8662864042435207,1.2102001776376672
pre_GO,mse,196,0.00841251494229355,0.002901791231557002,0.00812784327276474,0.006430034848402846,0.009636113767523201
pre_GO,mean_error,196,0.011450428669523194,0.0024843198538432765,0.010984210737042472,0.009876296563239318,0.012734271609094527
pre_GO,frac_inside,196,0.8682146327918923,0.03108177707274018,0.8724489795918366,0.8469387755102041,0.8877551020408163
pre_GO,normal_x,196,-0.43066168778924585,0.007084746383718584,-0.43059265773581246,-0.4343111233659638,-0.42622710680325687
pre_GO,normal_y,196,0.7939385722429203,0.006754911876642865,0.7941840820690267,0.7903095202106144,0.7985969292448323
pre_GO,normal_z,196,-0.42897799581802726,0.008659230120035666,-0.4297732868773969,-0.43427371781682256,-0.42484250804206514
pre_GO,u_x,196,0.5617623313154334,0.005346337439731942,0.5621131013196694,0.5589000608539489,0.5647106758855991
pre_GO,u_y,196,0.6078569504970225,0.008792007921452518,0.6076663197661123,0.6018529824562435,0.6126783093699036
pre_GO,u_z,196,0.5610674147876621,0.005584218941002394,0.5609037106770778,0.5575176435198305,0.5651026430294873
pre_GO,v_x,196,0.7063063916229122,0.002556020137013204,0.70681648193997,0.7055797097079516,0.7075764762599477
pre_GO,v_y,196,0.0006540186102381232,0.006999457505937298,8.834302794666349e-05,-0.003144114394132036,0.0036077232869184753
pre_GO,v_z,196,-0.7078626148213841,0.002482143054858813,-0.7073901850605937,-0.7085994125699396,-0.7066270430162094
post_GO,R1,195,3.684258675309712,0.9845501117989803,3.576225677842011,3.027694849110965,4.133109932572616
post_GO,R2,195,1.0108926904870599,0.23707939461645983,0.9782401228244169,0.856157353592799,1.1540253333772694
post_GO,band_half_width,195,0.9402387527416103,0.2818960411938926,0.897906167618557,0.7473320139215198,1.0632000385307467
post_GO,mse,195,0.009002397011121417,0.0029717874320709355,0.008482349601197243,0.007165439174995087,0.010380485560050877
post_GO,mean_error,195,0.01300793665893036,0.0030622546082986705,0.012460801100235765,0.011076832034068906,0.014394110066233746
post_GO,frac_inside,195,0.8541775684632826,0.03709626108512778,0.8605442176870748,0.8350340136054422,0.879251700680272
post_GO,normal_x,195,-0.4235804456229111,0.007384634025427123,-0.4231191872492026,-0.4276722021473443,-0.41906245496372896
post_GO,normal_y,195,0.8012552208299434,0.005978131413099408,0.8019060846189144,0.7981027523025441,0.8053744706764184
post_GO,normal_z,195,-0.422395850087324,0.007869730856100706,-0.42162751273022814,-0.4272488886986597,-0.4175859849767811
post_GO,u_x,195,0.5662858323027046,0.005081821461806299,0.5667898897837738,0.5639082082882874,0.5697911327925136
post_GO,u_y,195,0.5981971538679617,0.007952233964486799,0.5974143640879565,0.5926194972101171,0.602519724498134
post_GO,u_z,195,0.5668948378415657,0.0047193305125775515,0.5674043834135281,0.5643154984506696,0.5702188967163795
post_GO,v_x,195,0.7069744703953965,0.0026742221884100406,0.7070851837654195,0.7059134181237159,0.7080743778386622
post_GO,v_y,195,0.0009337678345074894,0.0071524900128373614,0.000939925053845353,-0.0014808607051378098,0.004606360545101801
post_GO,v_z,195,-0.707192404356618,0.0026750043921046655,-0.7071053267071253,-0.7082917801654446,-0.7061353057338509
