index,macro_f1,accuracy
384,0.1700005098294014,0.17087542087542087
385,0.19045295316197067,0.19276094276094277
386,0.16068986646872335,0.16245791245791247
387,0.1556688684637765,0.15824915824915825
388,0.14539078087687338,0.1531986531986532
389,0.1482819228040599,0.15404040404040403
390,0.157940591171332,0.16245791245791247
391,0.17930952752835558,0.18602693602693604
392,0.18180266678707832,0.1919191919191919
393,0.16616939129904876,0.1717171717171717
394,0.15815572142337567,0.16161616161616163
395,0.14236262875520211,0.1447811447811448
396,0.18256876479268272,0.18686868686868688
397,0.15482289535847496,0.1590909090909091
398,0.1578858762163907,0.16077441077441076
399,0.13449235927343534,0.14814814814814814
400,0.17308283093014465,0.17929292929292928
401,0.14434709706617965,0.14646464646464646
402,0.1802310616093045,0.18265993265993266
403,0.1610072198234002,0.16161616161616163
404,0.1758944921639144,0.18013468013468015
405,0.15652160551179534,0.16077441077441076
406,0.1651503031353316,0.17845117845117844
407,0.16256045600634747,0.16414141414141414
408,0.1591584820936691,0.16161616161616163
409,0.16314093803753316,0.16835016835016836
410,0.16354874818550438,0.16414141414141414
411,0.16653436857702816,0.17003367003367004
412,0.16285610411524412,0.16835016835016836
413,0.1538830239882282,0.1590909090909091
414,0.14617864037185707,0.1473063973063973
415,0.16352490860478253,0.16414141414141414
416,0.15537760333928172,0.1574074074074074
417,0.15235761649381074,0.1531986531986532
418,0.15164826848557414,0.1531986531986532
419,0.16251251193181207,0.16582491582491582
420,0.1663912949310913,0.16835016835016836
421,0.16675464434149848,0.17592592592592593
422,0.1658449772314062,0.1750841750841751
423,0.1458426238443376,0.14983164983164984
424,0.18211797883650918,0.18771043771043772
425,0.1575906050950158,0.16414141414141414
426,0.1606263465432014,0.1632996632996633
427,0.15723682334877992,0.1590909090909091
428,0.16311586798273106,0.1675084175084175
429,0.1630198439344568,0.16414141414141414
430,0.16236724218799775,0.1717171717171717
431,0.14654987066819233,0.15235690235690236
432,0.16192918898216957,0.1675084175084175
433,0.14956773727719316,0.1531986531986532
434,0.17456250426811862,0.18181818181818182
435,0.15702049671071097,0.1632996632996633
436,0.16528223362477884,0.16835016835016836
437,0.1493037730079484,0.15235690235690236
438,0.167393735852812,0.17424242424242425
439,0.1577950747697867,0.16161616161616163
440,0.14148004775063908,0.14393939393939395
441,0.1537898546708284,0.15572390572390574
442,0.16733843551709746,0.1691919191919192
443,0.16986943801552692,0.17592592592592593
444,0.17332144796695936,0.18181818181818182
445,0.18293600473138968,0.1893939393939394
446,0.16145523778044887,0.1675084175084175
447,0.1785501246663633,0.18181818181818182
448,0.16068961081749308,0.1632996632996633
449,0.1736587031550422,0.17676767676767677
450,0.1523872216769598,0.15235690235690236
451,0.16833858134883772,0.17255892255892255
452,0.1936534992244167,0.19612794612794612
453,0.1614019743777173,0.16414141414141414
454,0.156677473049216,0.1590909090909091
455,0.14582301411602716,0.15151515151515152
456,0.15517748201901432,0.16161616161616163
457,0.1714890285335617,0.1750841750841751
458,0.15161823140726374,0.15235690235690236
459,0.16695006799693,0.1717171717171717
460,0.17717814770875895,0.1776094276094276
461,0.1641525444260145,0.16582491582491582
462,0.16416008467921558,0.1734006734006734
463,0.1499377800012707,0.1531986531986532
464,0.18576806227275725,0.19276094276094277
465,0.16150854382888793,0.1675084175084175
466,0.1451803230309829,0.14898989898989898
467,0.15850870319357105,0.16077441077441076
468,0.1666227764589143,0.17087542087542087
469,0.17072307846097645,0.17676767676767677
470,0.19030919195411541,0.19444444444444445
471,0.15828818862206148,0.15993265993265993
472,0.15615177235936517,0.16161616161616163
473,0.17655587197876885,0.18434343434343434
474,0.14362962770443646,0.1531986531986532
475,0.1504612269199485,0.15151515151515152
476,0.16607769708982653,0.1717171717171717
477,0.15100889468830536,0.1574074074074074
478,0.16767597493943975,0.1734006734006734
479,0.16128986654144212,0.16498316498316498
480,0.17179233677853198,0.17929292929292928
481,0.13843247141353873,0.14057239057239057
482,0.1707655781132228,0.17255892255892255
483,0.16626607384119646,0.1717171717171717
484,0.155287982108785,0.16161616161616163
485,0.15861423590175727,0.1632996632996633
486,0.15524061887863447,0.16245791245791247
487,0.16126239896940212,0.1632996632996633
488,0.17808254858439224,0.18181818181818182
489,0.18675820179985925,0.19023569023569023
490,0.1406929357601349,0.14898989898989898
491,0.13714913019005956,0.14057239057239057
492,0.15569896291339264,0.1590909090909091
493,0.18839128181201403,0.19276094276094277
494,0.17387868219240385,0.18013468013468015
495,0.1803317463234664,0.18181818181818182
496,0.17960998659504965,0.1835016835016835
497,0.18241223137292273,0.18602693602693604
498,0.15507127610026672,0.15572390572390574
499,0.170097358482842,0.17592592592592593
500,0.15707456248900983,0.1632996632996633
501,0.1828785881993135,0.18518518518518517
502,0.16153878656580964,0.1632996632996633
503,0.18355309426200372,0.18686868686868688
504,0.16987306481008269,0.17845117845117844
505,0.16410358783257292,0.18181818181818182
506,0.16589390543638663,0.1675084175084175
507,0.16626769571312203,0.17003367003367004
508,0.16306060921977308,0.16835016835016836
509,0.14257732038102436,0.14393939393939395
510,0.15751468707034466,0.1632996632996633
511,0.15859677483633106,0.1632996632996633
512,0.1782602919399856,0.18518518518518517
513,0.17055300425605624,0.17255892255892255
514,0.15453171402586616,0.1574074074074074
515,0.15628601408081447,0.15824915824915825
516,0.14468107237649674,0.15067340067340068
517,0.15869162972836184,0.16077441077441076
518,0.18903996425954916,0.1893939393939394
519,0.17179902762963342,0.17592592592592593
520,0.16250511477095808,0.1632996632996633
521,0.18956547535824608,0.19276094276094277
522,0.15329965462069153,0.15488215488215487
523,0.17205667023423618,0.17255892255892255
524,0.1636087532904809,0.16666666666666666
525,0.18941510594670338,0.19444444444444445
526,0.18715510358202248,0.1893939393939394
527,0.1551577532220267,0.16414141414141414
528,0.1606271476383179,0.16582491582491582
529,0.16898082452929983,0.1717171717171717
530,0.1500100028845435,0.15488215488215487
531,0.15626100202016266,0.1574074074074074
532,0.16648207603724008,0.1717171717171717
533,0.17386108613195525,0.17929292929292928
534,0.1739188459353966,0.1776094276094276
535,0.1580477461596053,0.16161616161616163
536,0.1691845540214638,0.18181818181818182
537,0.1682120570559079,0.1734006734006734
538,0.1751329482061521,0.18181818181818182
539,0.1615080139920704,0.16161616161616163
540,0.167494265309011,0.17003367003367004
541,0.14746364381488747,0.14983164983164984
542,0.18163610920289153,0.18434343434343434
543,0.15500278906524653,0.15824915824915825
544,0.15186129224148212,0.16245791245791247
545,0.14421992575533402,0.1447811447811448
546,0.17993822302276752,0.18602693602693604
547,0.1617098892236752,0.16498316498316498
548,0.1640453950826183,0.16582491582491582
549,0.19107388386527482,0.1978114478114478
550,0.15222964117170038,0.1590909090909091
551,0.14234140138211196,0.14814814814814814
552,0.1607527171827761,0.16498316498316498
553,0.16503832229426393,0.17424242424242425
554,0.16031239862595795,0.1675084175084175
555,0.16937585020322665,0.17592592592592593
556,0.1709587530648559,0.17424242424242425
557,0.14653648480439255,0.14983164983164984
558,0.16072187479129282,0.16414141414141414
559,0.15373321953024255,0.15572390572390574
560,0.15723194783927955,0.16077441077441076
561,0.1803259241528684,0.18097643097643099
562,0.1616236847936172,0.16582491582491582
563,0.17046436476309434,0.17255892255892255
564,0.15471452464423321,0.16161616161616163
565,0.16355718434067307,0.16414141414141414
566,0.16023498388877647,0.1675084175084175
567,0.14330943149547434,0.15067340067340068
568,0.17005814426430224,0.1776094276094276
569,0.16958806804647378,0.17424242424242425
570,0.16979930008576719,0.17676767676767677
571,0.13655733336262424,0.13804713804713806
572,0.16207381107948984,0.16666666666666666
573,0.1652141484568747,0.1691919191919192
574,0.1555813928119011,0.16245791245791247
575,0.16791392104970884,0.17003367003367004
576,0.1568263328684378,0.16245791245791247
577,0.1846376427805282,0.19023569023569023
578,0.17112478921742438,0.1734006734006734
579,0.14784513403687058,0.14983164983164984
580,0.15966600024804997,0.16414141414141414
581,0.1781341997787953,0.18013468013468015
582,0.1628829564325747,0.16835016835016836
583,0.16949143214348347,0.17087542087542087
584,0.18423920959028284,0.18771043771043772
585,0.1728257168856707,0.1734006734006734
