window_index,stage_name,feature,value,plotted_x
1039,post_TC,R1,3.280513119067657,0.9319710180626184
1045,post_TC,R1,5.691157111161056,1.0302148826342827
1051,post_TC,R1,3.1219387086219137,1.0466803419232358
1057,post_TC,R1,4.74534628303638,1.0935357436323874
1063,post_TC,R1,4.312238177277196,1.1887621383825657
1075,post_TC,R1,2.23387925555373,1.1211011469556136
1081,post_TC,R1,3.8992160313793938,1.0504938912209283
1087,post_TC,R1,4.8695831291388405,1.0537061320190049
1093,post_TC,R1,3.615433161500049,1.0687882216737064
1099,post_TC,R1,3.0229514308035568,1.0032527757142145
1105,post_TC,R1,3.509195759836805,0.857373423455036
1111,post_TC,R1,3.482112846436116,1.080297230884183
1117,post_TC,R1,5.4441601702904165,1.1075842897499621
1123,post_TC,R1,3.9415242756583706,0.7833093259889907
1129,post_TC,R1,4.756973996753187,0.8574173825767952
1135,post_TC,R1,4.040369117745804,1.2103503765603139
1141,post_TC,R1,3.255273843790909,1.0255183369020362
1153,post_TC,R1,4.197752606071719,1.1913938837517
1159,post_TC,R1,3.464022680364681,0.7930110809915286
1165,post_TC,R1,3.390414018522053,1.157425739982073
1171,post_TC,R1,4.804663513439141,1.134125944983972
1177,post_TC,R1,3.823367698255013,0.8163008940219774
1183,post_TC,R1,3.90840949550149,1.008541556093065
2,pre_SC,R1,4.852407199090087,1.7846429885909922
8,pre_SC,R1,5.538153541232392,1.9266403628515474
14,pre_SC,R1,3.934037833512338,2.0518244266995067
20,pre_SC,R1,3.810508720403844,1.8067431785806465
26,pre_SC,R1,4.069114342665121,2.0604348633441454
32,pre_SC,R1,2.885669998812737,1.9961541009992456
38,pre_SC,R1,5.006780241203857,2.2159848541908342
44,pre_SC,R1,3.1280730986983407,1.9487443539427005
50,pre_SC,R1,4.512912592268412,2.128863797480138
56,pre_SC,R1,5.5968406381483815,2.111940850807956
62,pre_SC,R1,3.920290361175264,2.215235478799337
68,pre_SC,R1,4.544230246673055,2.0004950525301073
74,pre_SC,R1,3.865406880796837,1.8794001405324163
80,pre_SC,R1,5.648844550089528,2.0135681487610224
86,pre_SC,R1,3.35039495732058,1.8245202148034758
92,pre_SC,R1,3.2079641075735323,1.8350550249920237
98,pre_SC,R1,4.030153998307783,2.1777337995361425
104,pre_SC,R1,5.180538604246582,2.1125825263059808
110,pre_SC,R1,3.361312310087904,1.9723943002126127
116,pre_SC,R1,5.858155118182682,1.9365434693387966
122,pre_SC,R1,6.489826778915285,2.2009481512240665
128,pre_SC,R1,3.1918424740558997,1.9260957287361338
134,pre_SC,R1,4.355838451372157,2.0739596146831625
140,pre_SC,R1,4.450267137250895,2.2163719118264633
146,pre_SC,R1,5.048780702863458,2.0193456912449186
152,pre_SC,R1,4.953414031887497,1.8286002885897925
158,pre_SC,R1,3.527216680944822,2.0662994116287923
164,pre_SC,R1,4.776941627397395,2.0540647986592773
170,pre_SC,R1,5.399674412722078,2.206472159955607
176,pre_SC,R1,5.15864584081141,2.195839279025957
182,pre_SC,R1,2.830153907183817,1.9588012093232026
188,pre_SC,R1,4.645368405835132,2.178214925427308
194,pre_SC,R1,2.7920818302067576,1.9060899732441134
200,pre_SC,R1,4.573304799235928,1.9167645736461136
206,pre_SC,R1,4.306944552345216,1.9726823588128566
212,pre_SC,R1,5.05923839110033,1.9786413716746118
218,pre_SC,R1,3.7293668249419696,1.8190792513759335
224,pre_SC,R1,3.853566193903115,2.22385317197041
230,pre_SC,R1,3.523366196116647,2.110921759455197
236,pre_SC,R1,3.185912223407071,1.8407957341201622
242,pre_SC,R1,4.903880603120252,1.8668104793437847
248,pre_SC,R1,3.0940796603967797,2.055619016196269
254,pre_SC,R1,3.205101501861991,1.915718363525137
260,pre_SC,R1,4.087179968342864,2.149312250597031
266,pre_SC,R1,3.513293076012206,2.1622853358486385
272,pre_SC,R1,5.092816566216028,1.7954815220316078
278,pre_SC,R1,4.584791325802715,2.090701780737191
284,pre_SC,R1,3.646885286621149,2.1309692558623485
290,pre_SC,R1,4.1950882090544654,2.2027213891631625
296,pre_SC,R1,3.1770728103565737,1.8893164023522966
302,pre_SC,R1,5.143297516707788,2.181512579889545
308,pre_SC,R1,4.9913522577780975,1.8519273816292552
314,pre_SC,R1,4.33819263664189,2.044115836434833
320,pre_SC,R1,5.284841300260479,1.8586407445121809
326,pre_SC,R1,4.173585838529457,1.9014916237109503
332,pre_SC,R1,2.806615703616551,1.9376436369568384
338,pre_SC,R1,3.643360038979813,2.120752550888727
344,pre_SC,R1,4.394423272256529,1.8365472279808484
350,pre_SC,R1,4.427551329187605,1.9250117947354495
356,pre_SC,R1,3.351831978987925,1.8950060447735282
362,pre_SC,R1,3.1534702001235426,1.9441372403171007
368,pre_SC,R1,2.60172954372647,2.0259261485862265
374,pre_SC,R1,6.260550433918206,2.0172645861538347
380,pre_SC,R1,3.7659283202063607,1.8602603366321304
386,pre_SC,R1,5.781434711619532,1.9433368803954394
392,pre_SC,R1,3.864696939724867,1.9545071711699102
398,pre_SC,R1,2.993226753126618,1.8138388723762473
404,pre_SC,R1,3.178477509650628,1.860539613442759
410,pre_SC,R1,6.38206037469992,2.218735680067897
416,pre_SC,R1,2.9551608417956903,1.8207069971027765
422,pre_SC,R1,3.6680703858532206,2.1622712944485873
428,pre_SC,R1,4.317806262426757,2.1335478491370323
434,pre_SC,R1,4.813610188215141,1.9555895056693822
440,pre_SC,R1,3.5977473407265577,1.7939324952904523
446,pre_SC,R1,5.408744363444641,1.907050197932847
452,pre_SC,R1,7.191152798521073,2.0027903729037875
458,pre_SC,R1,3.196405439977328,1.8389151580662497
464,pre_SC,R1,4.061562712414767,1.987478746110845
470,pre_SC,R1,4.934142890497416,2.2061790602577025
476,pre_SC,R1,3.5786743923439177,1.842442388095357
482,pre_SC,R1,4.145712000453559,2.058523673279248
488,pre_SC,R1,3.9486231813544426,2.214132079023987
494,pre_SC,R1,3.82275568869016,2.1360941553358073
500,pre_SC,R1,3.0503411635113555,1.7724688216627487
506,pre_SC,R1,3.3583314600977623,1.7896489889477614
512,pre_SC,R1,3.6522656318222015,1.9680900508497121
518,pre_SC,R1,5.969914955583893,2.1740913761343137
524,pre_SC,R1,2.699914802611659,2.229338412883572
530,pre_SC,R1,3.543673116419342,2.103906511213085
536,pre_SC,R1,4.738874143396343,2.20282389680201
542,pre_SC,R1,4.328773643447715,2.036495153818486
548,pre_SC,R1,4.591826204465388,1.8849992958314363
554,pre_SC,R1,3.664078417117727,2.1311835447521816
560,pre_SC,R1,5.533339518330123,2.2147072298919257
566,pre_SC,R1,4.836267089993551,1.9531694409434817
572,pre_SC,R1,3.3464964341624834,2.1821070962104443
578,pre_SC,R1,4.556067049483709,2.1330527570457996
584,pre_SC,R1,3.413183436418355,2.0256794932016042
590,pre_SC,R1,4.349827433158303,2.0895149464586695
596,pre_SC,R1,3.0891243134220354,1.8614881103396805
602,pre_SC,R1,3.4788677379023083,2.061591241235178
608,pre_SC,R1,5.651903069168534,1.8459348952526407
614,pre_SC,R1,4.245102542856321,2.035679987650851
620,pre_SC,R1,3.038096302755644,1.8913523671363208
