row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,window_index,trial_index,stage,stage_name,start_sample,end_sample_exclusive,event_sample,preprocessing_error,cloud_sha256,R1,R2,band_half_width,mse,mean_error,frac_inside,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,usable,unusable_reason
170,187,650,6,1,short,1021,170,1,post_TC,2875,3175,2875,,bdc28a9f22eec196c9362740f4bd2dc8577b6f18979ac81a5ad5fb19e1b7cbe3,3.826003837295419,1.451631358803023,1.0151458826864979,0.008829359745408234,0.012961470470130904,0.8605442176870748,-0.4327456005468193,0.7917875104088195,-0.431049630052012,0.5587467859710427,0.6107936014011821,0.5610108783743893,0.7074837626224384,0.001927394089855039,-0.7067269704614505,True,
170,187,650,6,1,short,1022,170,2,pre_SC,3463,3763,3763,,a310d4d06aa886bfa8629528a06f6be6bff5d7a820ad3967effad81d453e378e,3.7470042445613196,1.2060678575942658,1.0256793950750307,0.00678296626697003,0.012429139091434097,0.7857142857142857,-0.4295187164911071,0.7972551325653282,-0.4241437560333442,0.5635459858189353,0.6036339880017411,0.5639520639172075,0.7056412644192489,0.0032034555334728154,-0.7085620253876501,True,
170,187,650,6,1,short,1023,170,3,post_SC,3763,4063,3763,,32cc3326a16c4fcdc13b6aee81f8035303b9779d658b222b9899073fd541436b,4.188937981259833,1.0704961976567715,1.0629938825463978,0.007702669335722276,0.010970941635849538,0.8741496598639455,-0.4309403356051722,0.800660499727991,-0.416212915854164,0.5648419124946594,0.5990432991018261,0.5675391966116311,0.7037357750163602,0.009481032460861377,-0.7103985282822587,True,
170,187,650,6,1,short,1024,170,4,pre_GO,4200,4500,4500,,21c5397f3a116f697aba5ed26a549ccaad29561459d73c728f3871bf7aa83a9f,2.7963223135075905,1.1960960822356603,0.7558652869731064,0.007714349734845051,0.016532705886208345,0.8163265306122449,-0.4414488837637568,0.7875780712758935,-0.42993448881088486,0.5563575052813483,0.6161761909040009,0.5574883210257868,0.7039809722860753,0.006905317398928856,-0.7101852626257268,True,
170,187,650,6,1,short,1025,170,5,post_GO,4500,4800,4500,,6c4706d82227085e3ebcf2790499774028e4b5fb5e3d18bc687d4a8c1adc15ac,2.4861359791899265,0.9434535408927355,0.670876733771627,0.007395130069920779,0.014035752945606753,0.8095238095238095,-0.4307427009414448,0.800027680948061,-0.41763193759881045,0.5656239173020542,0.5999161223030132,0.5658358687612469,0.7032284904364641,0.007507057864682171,-0.7109242817070383,True,
171,176,438,6,3,short,1026,171,0,pre_TC,2584,2884,2884,,c923ffe7472cba6e605bd07d2684664ca7b1c50282ff6a75dfd05118dadb34ce,5.28656225926085,1.6133540381686449,1.3656858732725627,0.01214125752906661,0.01015465773304671,0.9115646258503401,-0.4348550582792573,0.7909438009430475,-0.4304752978263777,0.5599599971285437,0.611885962253761,0.5586057382560533,0.7052275376818073,0.001863584329696133,-0.7089785942810269,True,
171,176,438,6,3,short,1027,171,1,post_TC,2884,3184,2884,,5acac1af9d46951399f089b1e20a3f8a01ca733ca30dbb15ce0b34c10fb71289,5.933779183193619,1.3676680672783557,1.624483417375754,0.010334051916530624,0.0077366416664145675,0.8945578231292517,-0.41897032360644254,0.8062192532407093,-0.41770130912065145,0.5705073702001396,0.5916167509416801,0.569658635107492,0.7063888507645302,0.0003683873006118388,-0.7078238875641053,True,
171,176,438,6,3,short,1028,171,2,pre_SC,3463,3763,3763,,368c45ed33b43d56e29a04b682dd442b62f6eb844e3538af3def319fcd0c9fd0,4.8910422510972555,1.9940135459777866,1.578443853925887,0.010651081741674026,0.008878651412528487,0.8741496598639455,-0.4321669186874338,0.7877124912261952,-0.4390225342262405,0.5578624346985775,0.616026128272247,0.556148643114483,0.7085345851434386,-0.0045651344040067154,-0.705661321884294,True,
171,176,438,6,3,short,1029,171,3,post_SC,3763,4063,3763,,0bf01132823439e2d4f7306fb05d4ac2b4a0513c9912b5fbbb82e1975912f33c,3.9132390846230596,1.1390068757800822,1.0117441044748265,0.009994367423829274,0.013440261785495386,0.8843537414965986,-0.43091764159830404,0.7957865485186272,-0.42548061689830974,0.562074448060866,0.6055664893073179,0.5633485083543605,0.7059619685198548,0.0036050277142692377,-0.708240568436143,True,
171,176,438,6,3,short,1030,171,4,pre_GO,4200,4500,4500,,2c71bfec12ec1177e92531a011c5ba32bd3f5057a8892be9b38e542f73c97dff,4.526299178296075,1.4426836277684387,1.2996709049715987,0.00865805076525665,0.011011950245525207,0.9115646258503401,-0.4249164300011579,0.8002889842164854,-0.42306449775042226,0.5643301302665279,0.599609807272012,0.5674500710164588,0.7077976628870957,0.0023708152535782123,-0.7064112454134621,True,
171,176,438,6,3,short,1031,171,5,post_GO,4500,4800,4500,,11931d7ff220f85a54468ed687e696c1d1050272f4a45bf54e741bb388c97da8,8.642842868251092,1.857170449704633,2.4153968805483035,0.014472146404754891,0.012215524905001548,0.9251700680272109,-0.39173998854070385,0.8046387919833957,-0.4462019675142982,0.5786723253816697,0.5925044625582241,0.5604255540979204,0.7153167978004573,-0.03866362999113823,-0.6977298922222038,True,
172,193,290,6,1,short,1032,172,0,pre_TC,2583,2883,2883,,44ef2e273e33d5e3ca14d4205104261f8e60675b6791b6bdbc31e36042e9f09c,2.993066890932478,1.075471887717751,0.7443284489030759,0.007965067693223755,0.013567911164472025,0.8673469387755102,-0.4367256469769417,0.7854768979611856,-0.43851653565383936,0.5586961647777626,0.6188788895450915,0.5521299806549665,0.7050739711088412,-0.0038681836445244866,-0.7091232138493997,True,
172,193,290,6,1,short,1033,172,1,post_TC,2883,3183,2883,,4ebfa3ff06e58dc5b205aa3f96591a61a20d390b39167c34c20193169b22cfae,4.863780759582068,1.4269197471459416,1.3052390576490174,0.010874597157803825,0.008855909641424782,0.9047619047619048,-0.4214763355144034,0.8042254306970839,-0.4190216643819743,0.5685989613905559,0.5943225786942152,0.5687494119204342,0.7064367768646613,0.0014591347944638566,-0.7077746471997428,True,
172,193,290,6,1,short,1034,172,2,pre_SC,3462,3762,3762,,95862c83e35de6060cb4e9a1f03df61a7f759770c84094836b4d8dc48f2fad95,5.344167337358975,1.5943816336730665,1.4852763657990968,0.007446834640442705,0.007631189059981322,0.9115646258503401,-0.4326927977940228,0.7987075943306164,-0.4181424655494589,0.5633645901732972,0.6016451838835202,0.5662538399416273,0.7038446428552638,0.009447299527628544,-0.7102911144422275,True,
172,193,290,6,1,short,1035,172,3,post_SC,3762,4062,3762,,1fbd8833ce02bbf835c08696e30555da3ad1cc109c2841a20b10e91de9ce32db,3.6225481909140016,1.1687531100333084,0.9922236767021875,0.010273047514981403,0.010983218708011434,0.8707482993197279,-0.42272232270311166,0.7946762127314325,-0.43565531651445893,0.564742962626341,0.6069566649313817,0.559168125932977,0.7087815065677925,-0.00966042515635776,-0.7053619298865577,True,
172,193,290,6,1,short,1036,172,4,pre_GO,4200,4500,4500,,135a7a1e98962f00f39adf89e7ca52fccac8fb917115f4a16079bfbba6c36daa,3.4870305560321606,1.2308848430526813,0.985993087969454,0.008924433837301906,0.011016919815647924,0.891156462585034,-0.4226040583254578,0.7920266048905573,-0.4405674375534239,0.5626960844072831,0.6103627599512391,0.5575216747871043,0.7104779563642807,-0.012294649659225526,-0.7036120487244317,True,
172,193,290,6,1,short,1037,172,5,post_GO,4500,4800,4500,,b5df50c8724edcf7b5a57d5d06d16cd53bf92055e0ac23f946da058d276df453,3.6798940082709026,1.5073681429986812,1.0334327843766207,0.010524535016848613,0.01164903611287509,0.8741496598639455,-0.4322937047238282,0.7904372181443496,-0.43397137812114933,0.558621820278639,0.6125426898412691,0.5592254599270339,0.7078586121286704,-0.000676235347121773,-0.7063538263087614,True,
173,182,289,6,2,short,1038,173,0,pre_TC,2576,2876,2876,,90b70d222925b7cbad48cfaf11e69eefc245be26c924bf7fe7c89e2dcb31ba85,4.533135710495356,1.1284357626642612,1.011815975322485,0.00941731545720156,0.012998278439624677,0.8469387755102041,-0.43444398280382274,0.7888106759441267,-0.43478286916818804,0.5581467726418383,0.6146360335511851,0.5573999699048847,0.7069162651934469,-0.0005135922859737241,-0.7072970593943622,True,
173,182,289,6,2,short,1039,173,1,post_TC,2876,3176,2876,,f26c6b82cfec0063f5a3ef0cf80ff88a1e948e875203e6fa7b0e42b8b8ce0e83,3.2805131190676575,1.0006884005089125,0.7359302084512072,0.006580880140485193,0.011157122735072909,0.8503401360544217,-0.42917708848162334,0.7946605434470341,-0.42932697028127814,0.5618916955888914,0.6070540469999804,0.561928026039978,0.7071667053465382,-6.862514132535691e-05,-0.707046848617482,True,
173,182,289,6,2,short,1040,173,2,pre_SC,3463,3763,3763,,b5765b74a5c558b5d8ea25f382366d6d5931d98d2354b270d51ff195ba12a8f8,3.8003948156502414,1.1952023518636556,0.9918476622058263,0.009085921183734845,0.010710692511059801,0.8537414965986394,-0.4260131632069535,0.7983693987850755,-0.425580882862427,0.5651364170489345,0.6021679415847538,0.5639278324862795,0.7064938887913317,-0.0002705755674733412,-0.7077190910872505,True,
173,182,289,6,2,short,1041,173,3,post_SC,3763,4063,3763,,e5c8bcb90c778fbb63d66a005137f41f42925f4a679e3a1fe4d76a38ab1d7825,3.8007976760176194,1.0845916984028343,0.9624160079190406,0.007400691990443318,0.011993187649030065,0.8469387755102041,-0.4276126626002689,0.8023192368602752,-0.41645078094278365,0.5571792365980607,0.5967091089706038,0.5774855301871298,0.7118277243040699,0.01490239697008014,-0.7021959907865006,True,
173,182,289,6,2,short,1042,173,4,pre_GO,4200,4500,4500,,11482d78eac91f953bad46b6033ebe6921d03113cb5e6f428e096efeae4a03a0,,,,,,,,,,,,,,,,False,nonconvergence
173,182,289,6,2,short,1043,173,5,post_GO,4500,4800,4500,,9f402796204d5b23663e8c10e45104935f7b8d0e8eb889c01ecd95ce6fb699a2,4.0662672186226745,0.8329167527400333,1.0251247494574975,0.00806507530746127,0.008011574120518877,0.8775510204081632,-0.4164592593728594,0.8077434464181762,-0.4172675521186572,0.5717028945776454,0.5895334514075882,0.5706190585697244,0.706906985121912,-0.0009134768435791751,-0.7073059309421244,True,
174,199,67,6,2,short,1044,174,0,pre_TC,2580,2880,2880,,2a61973ac4dca48add5435ee89462c4b4a9369e19ea62cb5c43afe20819a6727,3.9523053572475058,1.338481586779485,0.9254322893539398,0.009288900233940781,0.014784472679340953,0.8299319727891157,-0.42592993944116736,0.7967177719024024,-0.4287475698152877,0.5670592089793736,0.6043329038697773,0.5596656098171565,0.7050018015575072,-0.004746918494560326,-0.7091896266623443,True,
174,199,67,6,2,short,1045,174,1,post_TC,2880,3180,2880,,9549a9ba9b06dddc9276235dab6a2b26295189317314fb46f4aff367be5e3a23,5.691157111161056,1.515595258791145,1.5566176261989848,0.012947136387240377,0.008226883501620375,0.8809523809523809,-0.42391190053723227,0.7991550378834676,-0.4262040896194983,0.5702886672645632,0.6010977080660591,0.559868182117308,0.7036117797283672,-0.005724577120136798,-0.7105615333271817,True,
174,199,67,6,2,short,1046,174,2,pre_SC,3459,3759,3759,,65f49dcf6d3755d3ec548821b6269ebcb2951711f81db60df9984e335c5830e6,6.940910512802135,1.4000058551301768,1.8871061626765793,0.006477639591852161,0.006817868661789836,0.9183673469387755,-0.41406669452193456,0.8104026710189133,-0.4144831520014897,0.5728764782344091,0.5858732801281764,0.5732059318583436,0.7073622220428651,-0.00010216292116113634,-0.7068512406364709,True,
174,199,67,6,2,short,1047,174,3,post_SC,3759,4059,3759,,bcae173f1f5f74a3865eaefc6bee5c39705f3e273cab673996cd7d0091d3e39b,5.087946722619484,1.1650223418292696,1.2903384617825597,0.013475913350111932,0.008401404230422443,0.9183673469387755,-0.4168939383063219,0.8041782267074493,-0.4236706549822716,0.5690873270297212,0.5943732363223088,0.5682077702371837,0.7087588154073372,-0.004223225474358966,-0.7054382368067249,True,
174,199,67,6,2,short,1048,174,4,pre_GO,4200,4500,4500,,c8ed46b9058b3890da350411ee6454af99af46c096713d094774230ecb5f8234,3.4270105692104,1.253119911384701,0.8951268041093977,0.013702701041412992,0.010654492581434472,0.8707482993197279,-0.4311086605170875,0.7983430097707164,-0.42046850247955164,0.5633076428928052,0.6021617023665036,0.5657612426294559,0.7048615624970016,0.007051450440043822,-0.7093098439758025,True,
174,199,67,6,2,short,1049,174,5,post_GO,4500,4800,4500,,513de7483fedbc0717628480008d430795751c57b03bb09cc26ca43d97932068,3.826122317959925,0.9531735725845137,0.9361251578095996,0.009506586612857906,0.011349596100205727,0.8673469387755102,-0.4197258423880449,0.804939750584027,-0.41940698034411716,0.5693164067028194,0.5933565484781383,0.5690402757600735,0.7069010159072033,6.563410052945473e-05,-0.7073124835612112,True,
175,174,458,6,3,short,1050,175,0,pre_TC,2584,2884,2884,,51f4533da90449ae4bf9403f5477e43959ef1f2a9e54cdcf2311a86bbf26e372,4.017341927734562,1.4868958605997828,1.1878565411385305,0.011505981687012744,0.009977500408842295,0.8775510204081632,-0.4273255906165785,0.7978781111094857,-0.4251862643789798,0.5627887316087324,0.6028140420262511,0.565582950865925,0.7075745071569683,0.002398030094147491,-0.7066346766705134,True,
175,174,458,6,3,short,1051,175,1,post_TC,2884,3184,2884,,5782598464faffe614cad9442545b9f10860030b434c3f97e768fd14e988a6df,3.1219387086219137,1.1516609500363895,0.872084247837417,0.010560013439692784,0.01279205610309029,0.8503401360544217,-0.43480399660675245,0.7887352272399077,-0.43455980698358015,0.5583680117888039,0.6147329165087129,0.5570714539192526,0.7065200973403472,-0.00042740086912268493,-0.7076928496054511,True,
175,174,458,6,3,short,1052,175,2,pre_SC,3463,3763,3763,,662706226f249fcf3d988701f0c9332abc2ccc471ce66ec7f49b0cf0b1fce94b,4.619233514727551,1.1588647104856535,1.1771237272723776,0.009447536431382263,0.011310626620846512,0.8979591836734694,-0.4209916625964271,0.7954842099261634,-0.43585650365968337,0.5651457627533806,0.6058816327790152,0.5599265254503794,0.7094901598092787,-0.010598057330577504,-0.7046356464972674,True,
175,174,458,6,3,short,1053,175,3,post_SC,3763,4063,3763,,58f233200ac73e6e9e6bff2865f6000427f2691f7e11225af61950c8790f3dff,4.0364306256693805,1.3448846543218114,1.194184798312667,0.0077926515710200935,0.00879811186599864,0.8775510204081632,-0.4263994002937038,0.796623823570751,-0.4284554062544745,0.5633903607469748,0.6044741143738986,0.5632071967484831,0.7076544727807232,-0.0012364349590487655,-0.7065575832032579,True,
175,174,458,6,3,short,1054,175,4,pre_GO,4200,4500,4500,,588a249fedb1946ceebbb301cb2e607e0f35a6515c636cbd17ff61f25acd4bef,5.312721922392725,1.450825642567176,1.4076349495556613,0.007571361706995867,0.008466642522831561,0.8877551020408163,-0.42603830275600374,0.8022243462612839,-0.4182433058046947,0.5667852047810169,0.5970031588109477,0.567751494943951,0.7051566465872137,0.004829765564301397,-0.7090351028958084,True,
175,174,458,6,3,short,1055,175,5,post_GO,4500,4800,4500,,cbdeeb59b39105367e67169f6778b0935fe9950781da09100f2428df2fb25fe9,4.107238934423784,1.4121811724967035,1.168280226319635,0.012689103214684864,0.009386242591447781,0.8877551020408163,-0.4192407298697952,0.7945672278698601,-0.43920397404104516,0.5648981780572615,0.6070199312686101,0.5589426191213533,0.7107230535488684,-0.013774013135524066,-0.7033370583982579,True,
176,180,90,6,2,short,1056,176,0,pre_TC,2584,2884,2884,,41f04c0f63cee4eecc861e17a6bd2f88f38b3e984799894d767bd60519f0e917,3.4023245638479813,1.1930169868297713,0.9044223306653381,0.012239566734402647,0.01490278824124413,0.8435374149659864,-0.4311247312168062,0.7907694369716208,-0.4345286684268629,0.5626730431360567,0.612094139751527,0.5556436003499432,0.705358428503726,-0.004945870340393732,-0.7088335669995673,True,
176,180,90,6,2,short,1057,176,1,post_TC,2884,3184,2884,,f09e6b93437377d3afb128ff0400bba4ad2c976da8fb39681279416e42bfb95d,4.74534628303638,0.9465959042025026,1.0897721481504965,0.009290398742923079,0.00957731464209251,0.8741496598639455,-0.4209424998773815,0.8046611288324694,-0.41872172088755655,0.5682481129375996,0.5937313641375909,0.5697167273147002,0.7070371234523953,0.0018801556774721284,-0.7071739326889749,True,
176,180,90,6,2,short,1058,176,2,pre_SC,3463,3763,3763,,592a884a560af64c3bc0e1bf5365de394ee6030911e8643d00d6b7fea4dd29fc,3.3564913918472037,1.0586751217398664,0.8602305024590491,0.007087706514539946,0.013110386819447126,0.8435374149659864,-0.42548604485758623,0.7966032455830618,-0.42940062268000995,0.5623731478483609,0.6045008138955756,0.5641943003777264,0.7090120367176947,-0.0014265784656916636,-0.7051949352223876,True,
176,180,90,6,2,short,1059,176,3,post_SC,3763,4063,3763,,6b05a8e9bc63624d213667159273d4f0b3f566a3f3b43b132f2d1e0b31ef8e38,5.0410144806858765,1.7720596817120045,1.4529351105452635,0.01724332655424788,0.008207242329227623,0.9217687074829932,-0.43267491638735484,0.7907674370921483,-0.432988772561034,0.5595266758929546,0.6121165043590138,0.5587873334780256,0.706910401460734,-0.0004955058191282169,-0.707302932823417,True,
176,180,90,6,2,short,1060,176,4,pre_GO,4200,4500,4500,,9924cd0928e545ee3786301ad5301127ace70cf67551ed606cecc2450426a3f0,3.7077310141883526,1.1968682579558085,0.9709290340322284,0.015311971267237469,0.013274447491458714,0.8843537414965986,-0.4240697066703311,0.79640612185408,-0.431163742629043,0.5646645901382116,0.6047390695681767,0.5616445124648343,0.7080386885817644,-0.005286474360122528,-0.7061538562241623,True,
176,180,90,6,2,short,1061,176,5,post_GO,4500,4800,4500,,fe18cb7fb7345a2080a44b2d50b7a3f67a7d8d2de3189cdedbfd1f21a6a07d5a,3.4088437627568124,0.8158623998485218,0.8536826491779462,0.008067194535863704,0.013698232622844236,0.8571428571428571,-0.4217226019873779,0.8048984975354889,-0.41747868884304523,0.5688505945358202,0.5934065110915889,0.5694538731893496,0.7060871391473149,0.002668568758801837,-0.708119926757848,True,
177,198,77,6,2,short,1062,177,0,pre_TC,2585,2885,2885,,d774c19704b6ff97b0c20d24af7d2c0d148170e381f4a5bbd37418a7ebd0a456,2.475984680491892,1.22381251301215,0.7747860067101482,0.0081684759510876,0.016104135237090166,0.8095238095238095,-0.44496141878026524,0.778921109592945,-0.44191768557905525,0.5457026835213367,0.6270915261909141,0.5558460209241063,0.7100830352815545,0.006174367177726597,-0.7040908749552783,True,
177,198,77,6,2,short,1063,177,1,post_TC,2885,3185,2885,,6f24f89049c4db9cc3d00b4e6d51947fe5832235dbf3df78454f806274482f22,4.312238177277196,1.2929432343530416,1.1703289403509618,0.006184852668595071,0.009678783040567563,0.8367346938775511,-0.43561270911954847,0.7922963490642442,-0.42720962408751645,0.5578522408555513,0.6100987877802636,0.5626547311820038,0.7064293630830812,0.0067797056368452124,-0.7077510795226738,True,
177,198,77,6,2,short,1064,177,2,pre_SC,3463,3763,3763,,322a645942fdf6f3743a2b85ef7842b098759ba7c0c7b3ff1159885e7cd12f02,6.428304933797491,1.1829461196043491,1.707762533303517,0.007702704735621495,0.008489525528667014,0.9251700680272109,-0.41699223299802063,0.8067562262148316,-0.41864288968394997,0.5728358795086566,0.5908771716477925,0.5680873376278063,0.705674523251951,-0.002925660456831569,-0.7085301036258255,True,
177,198,77,6,2,short,1065,177,3,post_SC,3763,4063,3763,,fdb1a71d1994339bbb43a0b3140a953037569dd5ecc0af04617efc560d5f2d38,3.1982033597585557,1.279954247467433,0.9065867969648101,0.011259900175239056,0.010609741506593237,0.8775510204081632,-0.4284851350344116,0.7970875596666964,-0.425501952144914,0.5631673996804294,0.6038601812955001,0.5640880794547508,0.706571276653478,0.0020745289480730844,-0.7076388396194192,True,
177,198,77,6,2,short,1066,177,4,pre_GO,4200,4500,4500,,f8984d7a5ecca77afd1de47f5de7c63f8d213d2b66f9230ae28ce878fa3b94e6,5.057454772969665,1.3521148563156047,1.2249618141725875,0.009888504717857847,0.009401374366447876,0.9013605442176871,-0.4289136213663041,0.8033273119258011,-0.4131565506203545,0.5735583031930694,0.5955223417897964,0.5624802336682455,0.6978996906753362,0.004286063842700111,-0.7161826941584155,True,
177,198,77,6,2,short,1067,177,5,post_GO,4500,4800,4500,,edf2d6ea9f405f27a80afc7c14e71586fbc57cdd53bf978c314bfb08ec17ca19,4.403761036242549,1.2883040269243293,1.250809622990117,0.007105200959654832,0.008269752582605738,0.891156462585034,-0.42400539042735236,0.803367446110328,-0.4181150265402068,0.5697190913698261,0.5954804185536664,0.5664125952412163,0.7040167510913986,0.0019538805796644743,-0.7101806787947643,True,
178,172,292,6,4,short,1068,178,0,pre_TC,2579,2879,2879,,76b4b0102f118fbb3ae4131b77b7cb68d76efa687acecab80dc197f35a525c06,4.87679618495561,1.1351616325681237,1.2487190261196117,0.013450379890989605,0.008963655049448245,0.9081632653061225,-0.41867583905269956,0.8065656855476062,-0.41732761314180755,0.5685113833994395,0.5911400542108356,0.572143551263899,0.7081704235131354,0.002287182705969032,-0.7060378318875669,True,
178,172,292,6,4,short,1069,178,1,post_TC,2879,3179,2879,,48eca19eef0d7d75d96c9ff1120e7b99f5fd9b37d2373e20375bf2e682b4bbd6,,,,,,,,,,,,,,,,False,nonconvergence
