recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,10,9,-15.102618701263594,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,11,10,-4.969253153764429,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,12,11,15.787989161287804,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,13,12,-12.393210403628874,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,14,13,5.191027024559555,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,15,14,-1.1877213283695267,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,ar,1,16,15,0.1175829593725237,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,0,-1,3.6323453819417365e-09,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,1,0,8.092314972375624,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,2,1,-29.4691901049638,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,3,2,63.39677257278975,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,4,3,-88.80854273195389,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,5,4,84.02582187640132,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,6,5,-53.706073588276446,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,7,6,22.36475031883788,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,8,7,-5.506727458738951,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,1,9,8,0.6108729128039725,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,0,-1,5.750189065466282e-05,intercept
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,1,0,9523.033201329226,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,2,1,-63565.24566055185,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,3,2,189569.05325549468,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,4,3,-329558.5996265668,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,5,4,364996.2085065989,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,6,5,-263556.1792760504,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,7,6,121110.03318853823,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,8,7,-32368.025219377563,lag_weight
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,4,embedding,10,9,8,3850.701693292618,lag_weight
