session_id,recording_hour,feature_set,feature_label,n_features,accuracy,f1,f1_wake,f1_nrem,f1_rem,random_seed
session_m1020_1080,Hour 18,torus_features_15d,Torus features (15D),15,0.7264957264957265,0.7219101932659351,0.6993865030674846,0.8466257668711656,0.6197183098591549,42
session_m1020_1080,Hour 18,no_r_geometry_11d,No-r geometry (11D),11,0.7307692307692307,0.7255088314189969,0.7160493827160493,0.8363636363636363,0.624113475177305,42
session_m1080_1140,Hour 19,torus_features_15d,Torus features (15D),15,0.5821917808219178,0.5687984936977183,0.4059040590405904,0.8286604361370716,0.47183098591549294,42
session_m1080_1140,Hour 19,no_r_geometry_11d,No-r geometry (11D),11,0.58675799086758,0.5695488718232665,0.39846743295019155,0.8206686930091185,0.48951048951048953,42
session_m1140_1200,Hour 20,torus_features_15d,Torus features (15D),15,0.5757575757575758,0.5779552790933296,0.42857142857142855,0.8372093023255814,0.46808510638297873,42
session_m1140_1200,Hour 20,no_r_geometry_11d,No-r geometry (11D),11,0.5303030303030303,0.5320692379515909,0.3076923076923077,0.8571428571428571,0.43137254901960786,42
session_m1200_1260,Hour 21,torus_features_15d,Torus features (15D),15,0.6796536796536796,0.6825526562135401,0.5974025974025974,0.8590604026845637,0.5911949685534591,42
session_m1200_1260,Hour 21,no_r_geometry_11d,No-r geometry (11D),11,0.6406926406926406,0.6394335511982571,0.5620915032679739,0.8333333333333334,0.5228758169934641,42
session_m1260_1320,Hour 22,torus_features_15d,Torus features (15D),15,0.5790297339593115,0.5699358500564339,0.4942263279445728,0.787746170678337,0.42783505154639173,42
session_m1260_1320,Hour 22,no_r_geometry_11d,No-r geometry (11D),11,0.6118935837245696,0.6040776842352741,0.5475638051044084,0.787746170678337,0.47692307692307695,42
session_m1320_1380,Hour 23,torus_features_15d,Torus features (15D),15,0.6132075471698113,0.612319358151088,0.5504587155963303,0.8301886792452831,0.4563106796116505,42
session_m1320_1380,Hour 23,no_r_geometry_11d,No-r geometry (11D),11,0.5943396226415094,0.5934857606639404,0.5233644859813084,0.8169014084507042,0.44019138755980863,42
session_m1380_1440,Hour 24,torus_features_15d,Torus features (15D),15,0.6333333333333333,0.6354619603501869,0.5619834710743802,0.8034188034188035,0.5409836065573771,42
session_m1380_1440,Hour 24,no_r_geometry_11d,No-r geometry (11D),11,0.5833333333333334,0.5818776820721805,0.5084745762711864,0.7704918032786885,0.4666666666666667,42
