session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m1200_1260,all_torus_15,ok,0.6796536796536796,0.6825526562135401,0.5974025974025974,0.8590604026845637,0.5911949685534591,712,1011,77
session_m1260_1320,delta,ok,0.4804381846635367,0.451115122146463,0.2445141065830721,0.6076923076923076,0.5011389521640092,412,1175,213
session_m1260_1320,theta,ok,0.380281690140845,0.3512339144761813,0.4893203883495146,0.1661129568106312,0.3982683982683982,412,1175,213
session_m1260_1320,alpha,ok,0.3317683881064163,0.3138696826706998,0.4046242774566474,0.3452914798206278,0.1916932907348242,412,1175,213
session_m1260_1320,sigma,ok,0.3020344287949921,0.2968555190301498,0.3207126948775056,0.24,0.3298538622129436,412,1175,213
session_m1260_1320,beta,ok,0.4898278560250391,0.4743714033097412,0.5010615711252654,0.6387665198237885,0.28328611898017,412,1175,213
session_m1260_1320,low_gamma,ok,0.5758998435054773,0.5624505032293463,0.5531914893617021,0.7740492170022372,0.3601108033240997,412,1175,213
session_m1260_1320,all_torus_15,ok,0.5790297339593115,0.5699358500564339,0.4942263279445728,0.787746170678337,0.4278350515463917,412,1175,213
session_m1320_1380,delta,ok,0.4685534591194968,0.4466342137394769,0.2666666666666666,0.5910931174089069,0.4821428571428571,916,778,106
session_m1320_1380,theta,ok,0.3993710691823899,0.3507773794094048,0.4878048780487805,0.072463768115942,0.492063492063492,916,778,106
session_m1320_1380,alpha,ok,0.3805031446540881,0.3304454701630291,0.4534412955465587,0.4597701149425287,0.078125,916,778,106
session_m1320_1380,sigma,ok,0.3742138364779874,0.3211700546540292,0.4477611940298507,0.0854700854700854,0.4302788844621514,916,778,106
session_m1320_1380,beta,ok,0.559748427672956,0.5491227057231022,0.5836909871244635,0.6636771300448431,0.4,916,778,106
session_m1320_1380,low_gamma,ok,0.660377358490566,0.6582757361082939,0.6609442060085837,0.7961165048543689,0.5177664974619289,916,778,106
session_m1320_1380,all_torus_15,ok,0.6132075471698113,0.612319358151088,0.5504587155963303,0.8301886792452831,0.4563106796116505,916,778,106
session_m1380_1440,delta,ok,0.55,0.5348325160121017,0.3495145631067961,0.6764705882352942,0.5785123966942148,626,1114,60
session_m1380_1440,theta,ok,0.4888888888888889,0.4606986682568078,0.5846153846153846,0.2558139534883721,0.5416666666666666,626,1114,60
session_m1380_1440,alpha,ok,0.3444444444444444,0.3243057141096868,0.4347826086956521,0.3875968992248062,0.1505376344086021,626,1114,60
session_m1380_1440,sigma,ok,0.3555555555555555,0.3353915204173145,0.3464566929133858,0.2045454545454545,0.4551724137931034,626,1114,60
session_m1380_1440,beta,ok,0.55,0.5380350269097683,0.6222222222222222,0.6229508196721312,0.3689320388349514,626,1114,60
session_m1380_1440,low_gamma,ok,0.5666666666666667,0.5563012256560643,0.5454545454545454,0.7580645161290323,0.3653846153846153,626,1114,60
session_m1380_1440,all_torus_15,ok,0.6333333333333333,0.6354619603501869,0.5619834710743802,0.8034188034188035,0.5409836065573771,626,1114,60
