session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m0540_0600,theta,ok,0.4740740740740741,0.4539516985466636,0.5492227979274611,0.2482758620689655,0.5643564356435643,955,755,90
session_m0540_0600,alpha,ok,0.4111111111111111,0.3652032314004145,0.1261261261261261,0.4694835680751174,0.5,955,755,90
session_m0540_0600,sigma,ok,0.3592592592592593,0.3072444143534191,0.4285714285714285,0.0571428571428571,0.4360189573459715,955,755,90
session_m0540_0600,beta,ok,0.5555555555555556,0.53993281075028,0.61,0.6808510638297872,0.3289473684210526,955,755,90
session_m0540_0600,low_gamma,ok,0.6777777777777778,0.6766738087992406,0.6494845360824743,0.8361581920903954,0.5443786982248521,955,755,90
session_m0540_0600,all_torus_15,ok,0.6888888888888889,0.690890711703274,0.6214689265536724,0.8522727272727273,0.5989304812834224,955,755,90
session_m0600_0660,delta,ok,0.4671201814058957,0.4404461223443329,0.2511210762331838,0.6171428571428571,0.4530744336569579,866,787,147
session_m0600_0660,theta,ok,0.5102040816326531,0.4914039809821995,0.5759493670886076,0.3259911894273127,0.5722713864306784,866,787,147
session_m0600_0660,alpha,ok,0.4058956916099773,0.3680506285677188,0.4233128834355828,0.5277777777777778,0.1530612244897959,866,787,147
session_m0600_0660,sigma,ok,0.3446712018140589,0.3306621593901924,0.226890756302521,0.3097643097643097,0.4553314121037464,866,787,147
session_m0600_0660,beta,ok,0.5600907029478458,0.5549371212775673,0.6153846153846154,0.6287625418060201,0.4206642066420664,866,787,147
session_m0600_0660,low_gamma,ok,0.6009070294784581,0.5967589039775927,0.5852090032154341,0.7744107744107744,0.4306569343065693,866,787,147
session_m0600_0660,all_torus_15,ok,0.673469387755102,0.6727738453434927,0.6068965517241379,0.8148148148148148,0.5966101694915255,866,787,147
session_m0660_0720,delta,ok,0.4215686274509804,0.4084175084175084,0.2909090909090909,0.5454545454545454,0.3888888888888889,1109,657,34
session_m0660_0720,theta,ok,0.5588235294117647,0.5420706054508871,0.6197183098591549,0.3571428571428571,0.6493506493506493,1109,657,34
session_m0660_0720,alpha,ok,0.2941176470588235,0.2872640684888872,0.2647058823529412,0.1587301587301587,0.4383561643835616,1109,657,34
session_m0660_0720,sigma,ok,0.3431372549019608,0.3282677149954038,0.3478260869565217,0.175438596491228,0.4615384615384615,1109,657,34
session_m0660_0720,beta,ok,0.4705882352941176,0.4491516698003401,0.525,0.547945205479452,0.2745098039215686,1109,657,34
session_m0660_0720,low_gamma,ok,0.5980392156862745,0.5884851016429965,0.5789473684210527,0.7222222222222222,0.4642857142857143,1109,657,34
session_m0660_0720,all_torus_15,ok,0.5980392156862745,0.597207367795603,0.5151515151515151,0.6764705882352942,0.6,1109,657,34
session_m0720_0780,delta,ok,0.4855072463768116,0.4666231786964945,0.2731277533039647,0.6037735849056604,0.5229681978798587,601,1061,138
session_m0720_0780,theta,ok,0.4251207729468599,0.3880194823306278,0.5375,0.1621621621621621,0.4643962848297213,601,1061,138
session_m0720_0780,alpha,ok,0.3647342995169082,0.3443077668873369,0.3058823529411765,0.4815864022662889,0.2454545454545454,601,1061,138
session_m0720_0780,sigma,ok,0.3768115942028985,0.3306489605343558,0.4268292682926829,0.0952380952380952,0.4698795180722891,601,1061,138
session_m0720_0780,beta,ok,0.5507246376811594,0.5385399027588006,0.5686274509803921,0.6643835616438356,0.3826086956521739,601,1061,138
session_m0720_0780,low_gamma,ok,0.5990338164251208,0.5908808521332983,0.5578231292517006,0.7602739726027398,0.4545454545454545,601,1061,138
session_m0720_0780,all_torus_15,ok,0.6400966183574879,0.6362351715242434,0.5373134328358209,0.7862068965517242,0.5851851851851851,601,1061,138
session_m0780_0840,delta,insufficient_classes,,,,,,1667,133,0
session_m0780_0840,theta,insufficient_classes,,,,,,1667,133,0
