session_id,recording_hour,feature_set,accuracy,f1,f1_wake,f1_nrem,f1_rem
session_m0240_0300,Hour 5,delta,0.5358974358974359,0.5167653061392184,0.3490566037735849,0.6843853820598007,0.5168539325842697
session_m0240_0300,Hour 5,theta,0.4358974358974359,0.4130431451860023,0.5416666666666666,0.22448979591836735,0.47297297297297297
session_m0240_0300,Hour 5,alpha,0.35384615384615387,0.3453771135893047,0.4459016393442623,0.3056768558951965,0.2845528455284553
session_m0240_0300,Hour 5,sigma,0.3,0.3000410852802591,0.2766798418972332,0.302158273381295,0.321285140562249
session_m0240_0300,Hour 5,beta,0.5743589743589743,0.564536921304806,0.6214285714285714,0.7014925373134329,0.3706896551724138
session_m0240_0300,Hour 5,low_gamma,0.6717948717948717,0.6685290893371504,0.6394052044609665,0.8560606060606061,0.5101214574898786
session_m0240_0300,Hour 5,average_psd,0.49743589743589745,0.4887624452841844,0.5072463768115942,0.63003663003663,0.329004329004329
session_m0240_0300,Hour 5,all_band_power,0.7076923076923077,0.7072837805386686,0.6741573033707865,0.8571428571428571,0.5905511811023622
session_m0240_0300,Hour 5,all_torus_15,0.6717948717948717,0.6676173507825411,0.5859375,0.8814814814814815,0.5354330708661418
session_m0300_0360,Hour 6,delta,0.4266666666666667,0.40052910052910046,0.4444444444444444,0.6071428571428571,0.15
session_m0300_0360,Hour 6,theta,0.37333333333333335,0.3529130451706899,0.5517241379310345,0.3018867924528302,0.20512820512820512
session_m0300_0360,Hour 6,alpha,0.26666666666666666,0.2547282478883026,0.42857142857142855,0.19607843137254902,0.13953488372093023
session_m0300_0360,Hour 6,sigma,0.49333333333333335,0.4745420304742338,0.5084745762711864,0.3333333333333333,0.5818181818181818
session_m0300_0360,Hour 6,beta,0.5733333333333334,0.5677734794756072,0.6909090909090909,0.5957446808510638,0.4166666666666667
session_m0300_0360,Hour 6,low_gamma,0.7066666666666667,0.701226309921962,0.6923076923076923,0.8461538461538461,0.5652173913043478
session_m0300_0360,Hour 6,average_psd,0.5466666666666666,0.5366184203393506,0.5454545454545454,0.6923076923076923,0.37209302325581395
session_m0300_0360,Hour 6,all_band_power,0.6933333333333334,0.6916528628788,0.7037037037037037,0.7755102040816326,0.5957446808510638
session_m0300_0360,Hour 6,all_torus_15,0.72,0.7224242424242425,0.7272727272727273,0.8,0.64
session_m0360_0420,Hour 7,delta,0.4928774928774929,0.46512789058583953,0.48559670781893005,0.6570397111913358,0.25274725274725274
session_m0360_0420,Hour 7,theta,0.452991452991453,0.431561266451791,0.5217391304347826,0.2430939226519337,0.5298507462686567
session_m0360_0420,Hour 7,alpha,0.31339031339031337,0.28780906852044075,0.2938775510204082,0.4232081911262799,0.14634146341463414
session_m0360_0420,Hour 7,sigma,0.38746438746438744,0.3666171628014396,0.45161290322580644,0.2360248447204969,0.4122137404580153
session_m0360_0420,Hour 7,beta,0.5783475783475783,0.5716318447963734,0.6294820717131474,0.6835443037974683,0.40186915887850466
session_m0360_0420,Hour 7,low_gamma,0.6809116809116809,0.6761789575708962,0.6639344262295082,0.8416666666666667,0.5229357798165137
session_m0360_0420,Hour 7,average_psd,0.5071225071225072,0.48919533625415984,0.5396825396825397,0.6509803921568628,0.27692307692307694
