recording,outer_fold,family,horizon_ms,trial_index,status,mse,nmse,r2,pearson,nmse_persistence,r2_persistence,pearson_persistence,nmse_improvement,persistence_skill,monkey,day,raw_trial_index,original_trial_number
monkeyM_session-o080506002-22_lfp-1,1,ar,10,76,ok,0.0037443081421044,0.0051465387850769,0.994853461214923,0.9975789239108378,2.527234001651101,-1.5272340016511006,-0.1955701768225292,2.522087462866024,0.997963568556883,M,2008-05-06,101,23
monkeyM_session-o080506002-22_lfp-1,1,ar,10,85,ok,0.004053156451053,0.0028054818011153,0.9971945181988846,0.9987297572302056,0.9896640338087316,0.0103359661912685,0.4813480300154129,0.986858552007616,0.9971652179878474,M,2008-05-06,97,277
monkeyM_session-o080506002-22_lfp-1,1,ar,10,86,ok,0.0032640589850285,0.0048292870838016,0.9951707129161984,0.9976025957019768,1.8376080401914936,-0.8376080401914938,0.0900577784079919,1.832778753107692,0.9973719710742568,M,2008-05-06,79,778
monkeyM_session-o080506002-22_lfp-1,1,ar,10,92,ok,0.0041856222023491,0.0077862075434839,0.992213792456516,0.9961195841526872,1.4270961268551348,-0.4270961268551347,0.2886092469896173,1.4193099193116507,0.9945440202681776,M,2008-05-06,89,211
monkeyM_session-o080506002-22_lfp-1,1,ar,10,95,ok,0.0024889616435721,0.0044079916640407,0.9955920083359592,0.9978809353214024,2.6011218293054177,-1.6011218293054177,-0.2831298952713097,2.596713837641377,0.9983053497862427,M,2008-05-06,86,374
monkeyM_session-o080506002-22_lfp-1,1,ar,10,98,ok,0.0029984191934585,0.00406075367051,0.99593924632949,0.997968834272694,2.088716849203067,-1.0887168492030672,-0.023024400278822,2.0846560955325573,0.9980558620609302,M,2008-05-06,90,741
monkeyM_session-o080506002-22_lfp-1,1,ar,10,102,ok,0.0026619452177819,0.0050090542095951,0.9949909457904048,0.997516419796368,2.0281411570504413,-1.0281411570504413,-0.0045515299401011,2.023132102840846,0.9975302240713464,M,2008-05-06,118,131
monkeyM_session-o080506002-22_lfp-1,1,ar,10,104,ok,0.0033710888652703,0.0095855258412881,0.990414474158712,0.9956820768353828,2.5948442954265745,-1.5948442954265745,-0.2927785044653453,2.585258769585286,0.9963059340947036,M,2008-05-06,107,768
monkeyM_session-o080506002-22_lfp-1,1,ar,10,106,ok,0.0023900631471764,0.0049253600163117,0.9950746399836882,0.997536511329984,2.470404336505632,-1.470404336505632,-0.1763247901510972,2.46547897648932,0.9980062534931918,M,2008-05-06,110,642
monkeyM_session-o080506002-22_lfp-1,1,ar,10,109,ok,0.0032332544705731,0.0045124629218845,0.9954875370781154,0.9977723179963548,1.8367549039568496,-0.8367549039568496,0.0784908407305859,1.832242441034965,0.9975432416637824,M,2008-05-06,108,316
monkeyM_session-o080506002-22_lfp-1,1,ar,10,115,ok,0.0031415807782944,0.0058216021330744,0.9941783978669256,0.9970974100740236,1.4917132981797907,-0.4917132981797907,0.2624768872250551,1.4858916960467163,0.9960973719680732,M,2008-05-06,120,348
monkeyM_session-o080506002-22_lfp-1,1,ar,10,120,ok,0.0029140125315261,0.0038080708474052,0.9961919291525948,0.9981081829276724,2.3696114930407246,-1.3696114930407246,-0.196282748070514,2.3658034221933195,0.9983929556137836,M,2008-05-06,126,457
monkeyM_session-o080506002-22_lfp-1,1,ar,10,126,ok,0.0034516416318603,0.0033578737717751,0.9966421262282248,0.9983420753852748,1.6035523015448885,-0.6035523015448885,0.1935760997272691,1.6001944277731133,0.9979059780160958,M,2008-05-06,122,568
monkeyM_session-o080506002-22_lfp-1,1,ar,10,132,ok,0.0052455086313444,0.0040042207102412,0.9959957792897588,0.9980127608745166,1.97768960949693,-0.97768960949693,0.0281994433684644,1.9736853887866888,0.9979753037630308,M,2008-05-06,164,511
monkeyM_session-o080506002-22_lfp-1,1,ar,10,134,ok,0.0038116707360032,0.0054614136604393,0.9945385863395608,0.9973222277511866,1.9981028862860133,-0.9981028862860132,-0.0274478821028265,1.992641472625574,0.9972667004797784,M,2008-05-06,174,412
monkeyM_session-o080506002-22_lfp-1,1,ar,10,137,ok,0.0028678542974043,0.0047873710367366,0.9952126289632632,0.9976232501194068,2.2112694954631267,-1.211269495463127,-0.0584366717403146,2.20648212442639,0.9978350124005424,M,2008-05-06,158,25
monkeyM_session-o080506002-22_lfp-1,1,ar,10,143,ok,0.00238753196367,0.0025101389157259,0.997489861084274,0.9987538796068144,2.356223958359464,-1.3562239583594635,-0.1616033345041499,2.3537138194437377,0.998934677280222,M,2008-05-06,143,429
