feature,stage,x,density
R1,0,7.905081082868007,0.012445158841222577
R1,0,7.923535951760665,0.012524206408088623
R1,0,7.9419908206533245,0.012589974618530637
R1,0,7.960445689545984,0.012641436087370056
R1,0,7.978900558438642,0.012677594815924238
R1,0,7.997355427331302,0.012697500995253649
R1,0,8.015810296223961,0.01270026613384749
R1,0,8.034265165116619,0.012685078157877129
R1,0,8.052720034009278,0.012651216129833191
R1,0,8.071174902901937,0.012598064238101711
R1,0,8.089629771794597,0.012525124725520734
R1,0,8.108084640687256,0.012432029448650461
R1,0,8.126539509579914,0.012318549790634969
R1,0,8.144994378472573,0.012184604688190867
R1,0,8.163449247365232,0.01203026657633452
R1,0,8.181904116257892,0.011855765101738802
R1,0,8.200358985150551,0.011661488505797374
R1,0,8.21881385404321,0.011447982630228072
R1,0,8.237268722935868,0.01121594755002227
R1,0,8.255723591828527,0.010966231889433603
R1,0,8.274178460721187,0.010699824925252161
R1,0,8.292633329613846,0.010417846626688107
R1,0,8.311088198506505,0.010121535821776651
R1,0,8.329543067399163,0.00981223671545362
R1,0,8.347997936291822,0.009491384013642535
R1,0,8.366452805184482,0.009160486930335145
R1,0,8.38490767407714,0.008821112370410425
R1,0,8.4033625429698,0.008474867589697137
R1,0,8.42181741186246,0.008123382635593418
R1,0,8.440272280755117,0.00776829286664364
R1,0,8.458727149647776,0.007411221838233382
R1,0,8.477182018540436,0.00705376482453096
R1,0,8.495636887433095,0.006697473224637935
R1,0,8.514091756325755,0.00634384007437254
R1,0,8.532546625218412,0.005994286855024107
R1,0,8.551001494111071,0.005650151757668933
R1,0,8.56945636300373,0.005312679527123381
R1,0,8.58791123189639,0.0049830129742280465
R1,0,8.60636610078905,0.0046621862097737535
R1,0,8.624820969681709,0.00435111961881716
R1,0,8.643275838574368,0.004050616561137734
R1,0,8.661730707467026,0.0037613617528293656
R1,0,8.680185576359685,0.0034839212560618163
R1,0,8.698640445252344,0.0032187439793579303
R1,0,8.717095314145004,0.0029661645696562318
R1,0,8.735550183037663,0.0027264075602072254
R1,0,8.754005051930323,0.002499592625106837
R1,0,8.77245992082298,0.0022857407820182944
R1,0,8.79091478971564,0.0020847813792928657
R1,0,8.809369658608299,0.0018965597020928367
R1,0,8.827824527500958,0.00172084503399392
R1,0,8.846279396393617,0.001557339015580107
R1,0,8.864734265286277,0.0014056841493659442
R1,0,8.883189134178934,0.0012654723105818698
R1,0,8.901644003071594,0.001136253135500617
R1,0,8.920098871964253,0.0010175421726230807
R1,0,8.938553740856912,0.0009088286967375084
R1,0,8.957008609749572,0.0008095831011900772
R1,0,8.97546347864223,0.0007192637992525043
R1,0,8.993918347534889,0.0006373235808755032
R1,0,9.012373216427548,0.0005632153860437916
R1,0,9.030828085320207,0.0004963974701142076
R1,0,9.049282954212867,0.0004363379496866262
R1,0,9.067737823105526,0.0003825187295385878
R1,0,9.086192691998184,0.0003344388218120255
R1,0,9.104647560890843,0.0002916170778820861
R1,0,9.123102429783502,0.00025359436111943454
R1,0,9.141557298676162,0.00021993519507294262
R1,0,9.160012167568821,0.00019022892648241945
R1,0,9.178467036461479,0.00016409044604402608
R1,0,9.196921905354138,0.0001411605120840942
