original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width,normal_x,normal_y,normal_z,u_x,u_y,u_z,v_x,v_y,v_z,mse,mean_error,frac_inside
82,56,2,pre_SC,5.5968406381483815,1.2628404062752576,1.5757048739740198,-0.4191951047527978,0.8016335123822145,-0.4262149410532729,0.56992782808731,0.5977795689354779,0.5637746515541434,0.7067232378540926,-0.0065801815376414,-0.7074595156529873,0.0065717148159363,0.0074778547359311,0.8877551020408163
82,57,3,post_SC,3.391300762864123,1.0663106980196797,0.930280279077228,-0.424857645387138,0.8013011938186227,-0.4212034875697814,0.567122568724829,0.5982589134113497,0.5660903325148936,0.7055976000519337,0.0016338019222686,-0.7086108646445031,0.006606320697091,0.011121577450878,0.8537414965986394
82,58,4,pre_GO,5.436073181082645,1.6653380518251846,1.5745038495720065,-0.4407784731960028,0.7991710636391619,-0.4087052099115587,0.5609604033322502,0.6007078125388735,0.5696257980886056,0.700740867553991,0.0218113501785701,-0.7130823946382829,0.0110752568291029,0.0076453619239237,0.9285714285714286
82,59,5,post_GO,4.569600566099178,1.2227905838310402,1.1495887996576817,-0.4217018360259578,0.8047618107684065,-0.4177630780970139,0.5662988598380376,0.5935803901899184,0.5718110891965309,0.708147698463022,0.0045550313654117,-0.7060496362514361,0.0097008725618735,0.0126569128691654,0.8707482993197279
517,60,0,pre_TC,4.713349690003067,1.3982104803087174,1.2466028929329542,-0.4266465474922066,0.795939953230088,-0.429479119824312,0.5634230755860155,0.6053718879944124,0.5622093161121361,0.7074794423940356,-0.0021137829041912,-0.7067307623923405,0.0110989750394293,0.0122729732969546,0.8401360544217688
517,61,1,post_TC,3.017021825340996,1.0362207046760392,0.8450353122386574,-0.4298796732255665,0.7933512746510054,-0.431042018319682,0.5603862239078493,0.608764105436699,0.5615812888497598,0.7079341400171218,-0.0001376280514573,-0.7062784397507385,0.0046672766531502,0.008356557181513,0.8673469387755102
517,62,2,pre_SC,3.920290361175264,1.4914739682784652,1.0440228949269328,-0.4338400872972335,0.7907617959435075,-0.4318316347028404,0.5567575753012679,0.6121156477708006,0.5615473587319115,0.7083810987022323,0.0031962212582471,-0.70582292621527,0.0122348742902425,0.0120069128613872,0.8843537414965986
517,63,3,post_SC,3.3452092147302865,0.848706468524363,0.8399870016808565,-0.421633639836513,0.800530273997341,-0.4258830287437572,0.5667059648392497,0.5992850575252329,0.5654217622647659,0.7078625736495954,-0.002949617046424,-0.7063440214126901,0.0064562329751704,0.015042496166504,0.8027210884353742
517,64,4,pre_GO,2.8007311048884227,1.089935674351529,0.7260587624949846,-0.4387523523699206,0.7833707297796773,-0.4402575076183449,0.5561604398950767,0.6215484460156764,0.5516911222334584,0.7058200467439105,-0.0027980314425975,-0.7083856524764391,0.0083227988138094,0.013745895602627,0.9013605442176872
517,65,5,post_GO,2.749878252181833,0.6379287545526684,0.6144054163376689,-0.424082639827444,0.8075921980061221,-0.4098155149779312,0.5695828671735231,0.5896663333217478,0.5725984393702748,0.7040804442813159,0.0094051616958968,-0.710057934899751,0.0056650645564088,0.0152855808513277,0.8129251700680272
124,66,0,pre_TC,3.789284246887544,1.33123992146818,1.128519607331356,-0.426534443880241,0.7977846190357466,-0.42615498332621,0.5640833595149063,0.6029424863939231,0.564154519275961,0.7070207434737332,0.0002443994732293,-0.7071927662008053,0.0135669084399548,0.0095346339688496,0.8707482993197279
124,67,1,post_TC,3.3518933827324817,1.3854322607431049,1.0039233507827192,-0.4208193008707981,0.7939530445721779,-0.4388048302254453,0.563612861494325,0.6078618014373917,0.5593251046676414,0.710810564336794,-0.0119412464951719,-0.7032821256504036,0.0076886947814362,0.0146042845316093,0.8469387755102041
124,68,2,pre_SC,4.544230246673055,1.2584001318404738,1.1526121656495243,-0.4245759040308972,0.7924175146551524,-0.4379609391076992,0.5607779172759974,0.6099283333621479,0.5599245981894948,0.7108188441592844,-0.0078683308156138,-0.7033311170126308,0.0060678995101263,0.0071838812285275,0.9013605442176872
124,69,3,post_SC,4.982824163400416,1.1995893613326931,1.3376518811125542,-0.4229801716373338,0.801685986074604,-0.4223592713949127,0.5658264770310686,0.5977441270667868,0.5679281261284518,0.7077627938033061,0.0012402776926895,-0.7064490706476892,0.0092813672817071,0.0103299735127469,0.8775510204081632
124,70,4,pre_GO,3.142367186204841,1.0636039996322832,0.8260644012306706,-0.4283089866657995,0.7988772375997416,-0.4223109887113073,0.5677767322079358,0.6014933899098956,0.561992245727626,0.7029800810155249,0.0009279761356279,-0.711208931718168,0.0112154111461048,0.0114532715525985,0.8843537414965986
124,71,5,post_GO,3.634854528994495,1.3373139327856247,0.9737851555254148,-0.4241877744016564,0.8011071597027574,-0.4222464336393502,0.5664782249363512,0.5985199468171994,0.5664594371487666,0.7065176237866471,0.0010917577192263,-0.7076946059876057,0.011850846137871,0.0115694076612394,0.8979591836734694
526,72,0,pre_TC,4.8496965349762,1.5154576342601374,1.2915869604036867,-0.4285478996250688,0.7955454850725064,-0.4283153965335502,0.5627801816915116,0.6058938644419029,0.5622909319266374,0.7068416829971271,-7.88188270401946e-05,-0.7073717756352604,0.0075100623067335,0.0078247687095756,0.9319727891156464
526,73,1,post_TC,2.886958267429485,1.1255884295714813,0.7936817919344153,-0.4334259038658192,0.7891238219747025,-0.4352304900281408,0.5601893949891105,0.6142272411053132,0.5557991885797332,0.705924803077376,-0.0029137392116184,-0.708280793558582,0.0056356555305244,0.0109158420574716,0.8469387755102041
526,74,2,pre_SC,3.865406880796837,1.1965138052203033,1.0415571552923888,-0.4384422565377743,0.7907352347901687,-0.4272074158338093,0.5515390696181659,0.6120228719776755,0.5667739045341853,0.7096288060435487,0.0128760489877332,-0.7044580647530929,0.0071438385200517,0.0133902933639929,0.8469387755102041
526,75,3,post_SC,2.94104519017864,1.0831505514082704,0.8526301871037261,-0.4345197689461824,0.7935945907939119,-0.4259110187088377,0.5622311878091703,0.6084343272687995,0.5600926359591357,0.7036253703851545,0.0039108648157383,-0.7105603727247582,0.0062282963191004,0.0102726350888273,0.891156462585034
526,76,4,pre_GO,2.960202287743148,1.2120786852545349,0.807017869521371,-0.4350830314645202,0.7850242585026966,-0.440953137299118,0.5585052327910767,0.6194336037199988,0.5517009294241225,0.7062398039452524,-0.0062389217615589,-0.7079452063391802,0.0062192309560427,0.0149788734772674,0.8231292517006803
526,77,5,post_GO,3.217780621712545,0.931592156853343,0.8108086742691915,-0.4258949547867763,0.8033154459123977,-0.4162905017481605,0.5686758135505559,0.5955334455475423,0.5674043834135281,0.7037196221292846,0.0049203244647189,-0.710460754607444,0.0072921216549971,0.015603859165137,0.8129251700680272
382,78,0,pre_TC,4.092628808745482,1.0851511858439482,1.0531020321640832,-0.421705877044159,0.8025418336774338,-0.4220080075828881,0.5675461205773443,0.5965958050675367,0.5674194624732434,0.7071460629064008,-0.0002248854820382,-0.7070674615215276,0.0067108659041316,0.0094851093441767,0.8401360544217688
382,79,1,post_TC,3.8083666707502393,1.6362258774077152,1.1162282286843512,-0.4326988155519298,0.7901137053678479,-0.4341567316187171,0.5597320952311625,0.6129579077639445,0.5576581254476443,0.7067331296805676,-0.0017134466835528,-0.7074781604490508,0.0110762788541939,0.0099495263966093,0.91156462585034
382,80,2,pre_SC,5.648844550089528,2.1122947148645355,1.7701162722744543,-0.4301641967542989,0.7943980856200739,-0.4288244925303249,0.5616551959220356,0.607396922949189,0.5617939291996994,0.7067546991173874,0.000812129927343,-0.7074582218905032,0.0114989091029427,0.0048888431485743,0.9285714285714286
