feature,stage,stage_name,n,mean,sd,q25,median,q75,minimum,maximum,bandwidth
normal_z,0,pre_TC,197,-0.42951585327604686,0.008637138296875336,-0.4341411585944544,-0.4293198654772038,-0.4245204073523156,-0.4570860061530862,-0.3880944919357329,0.0030076829254844354
normal_z,1,post_TC,195,-0.4296984294506819,0.008104159833579677,-0.4354121087525364,-0.4294696025567524,-0.4249429547515494,-0.4563780153445915,-0.399372371213397,0.0030076829254844354
normal_z,2,pre_SC,196,-0.42808835355450625,0.00802870706377274,-0.43258127512447714,-0.4288305942212304,-0.4238597184926422,-0.4555093834362278,-0.3736892053488538,0.0030076829254844354
normal_z,3,post_SC,198,-0.42548068045678117,0.008189838416649529,-0.42990108945365113,-0.4256068268717398,-0.42165113751442684,-0.4463418198736569,-0.3983820156317895,0.0030076829254844354
normal_z,4,pre_GO,196,-0.42897799581802726,0.008659230120035668,-0.43427371781682256,-0.4297732868773969,-0.42484250804206514,-0.4529700096748891,-0.3904071304746257,0.0030076829254844354
normal_z,5,post_GO,195,-0.422395850087324,0.007869730856100704,-0.4272488886986596,-0.4216275127302281,-0.4175859849767811,-0.4462019675142982,-0.3964984493199007,0.0030076829254844354
u_x,0,pre_TC,197,0.5623270068659414,0.0056636556096515064,0.5588747884464459,0.5627801816915116,0.5664905373572663,0.545410304985331,0.5754568787985591,0.0019357784245498824
u_x,1,post_TC,195,0.5622762433088744,0.005803543865885978,0.5582690108935426,0.5621661306809429,0.5669826542402652,0.5440390043615164,0.5754608249578353,0.0019357784245498824
u_x,2,pre_SC,196,0.5629323956319501,0.005065157363986861,0.5598609002815657,0.5628191917760826,0.5659679424787991,0.5458000410576763,0.5738538445596217,0.0019357784245498824
u_x,3,post_SC,198,0.5634693127330819,0.005231530882793934,0.5608255975947286,0.5644242474053391,0.5666308289989708,0.5460025006881588,0.5745784712158097,0.0019357784245498824
u_x,4,pre_GO,196,0.5617623313154334,0.005346337439731942,0.5589000608539489,0.5621131013196694,0.5647106758855991,0.5433962208645664,0.5747498643967343,0.0019357784245498824
u_x,5,post_GO,195,0.5662858323027046,0.005081821461806299,0.5639082082882874,0.5667898897837738,0.5697911327925136,0.5484928691939069,0.5786723253816697,0.0019357784245498824
u_y,0,pre_TC,197,0.6073701913336943,0.009521767236124856,0.6000472683162269,0.6061072163671473,0.6136962093565764,0.5840668455896376,0.6391640838037451,0.0032675595496246277
u_y,1,post_TC,195,0.607468606935376,0.00941586228667256,0.6002363352859852,0.6070703640700585,0.6145908617368881,0.5860169390585339,0.62737571480299,0.0032675595496246277
u_y,2,pre_SC,196,0.6059055507426193,0.00823681907331532,0.6008936011456179,0.6059228443975011,0.6110116628835999,0.5858732801281764,0.6342597735448549,0.0032675595496246277
u_y,3,post_SC,198,0.6037669497534515,0.008673154059772478,0.5982854159583826,0.6023889128414357,0.6084201147885646,0.5857634911135626,0.6324450176459032,0.0032675595496246277
u_y,4,pre_GO,196,0.6078569504970225,0.008792007921452518,0.6018529824562435,0.6076663197661123,0.6126783093699036,0.5869837146921696,0.6388637468373007,0.0032675595496246277
u_y,5,post_GO,195,0.5981971538679617,0.007952233964486799,0.5926194972101171,0.5974143640879565,0.602519724498134,0.582451072974401,0.6209513557460538,0.0032675595496246277
u_z,0,pre_TC,197,0.5610104159265253,0.005929733656601859,0.5573999699048847,0.5611529537156564,0.5652437318085727,0.5406443161762039,0.5773248102914418,0.001993569813521937
u_z,1,post_TC,195,0.5609580184342643,0.005645404339627352,0.5572800433273499,0.5607646510904124,0.565048177632723,0.5445642602266447,0.5763592795025545,0.001993569813521937
u_z,2,pre_SC,196,0.5620228068074199,0.004799973309086336,0.5587359329897963,0.561836907094263,0.5657177110893401,0.5473629862083653,0.5732059318583436,0.001993569813521937
u_z,3,post_SC,198,0.5637724187885071,0.005150086474792641,0.5610051749504249,0.5641297874463425,0.5668893867822454,0.5457992091817554,0.5774855301871298,0.001993569813521937
u_z,4,pre_GO,196,0.5610674147876621,0.005584218941002394,0.5575176435198305,0.5609037106770778,0.5651026430294873,0.5428367667257242,0.5758510264028424,0.001993569813521937
u_z,5,post_GO,195,0.5668948378415657,0.0047193305125775515,0.5643154984506696,0.5674043834135281,0.5702188967163795,0.5517480071661575,0.5765328453818518,0.001993569813521937
v_x,0,pre_TC,197,0.7065941310635384,0.002458317417006583,0.7056333346953774,0.7068416829971271,0.707896399001672,0.6916852197045401,0.7144927034445231,0.0008782077707299757
v_x,1,post_TC,195,0.7066604331590411,0.0020542474775622007,0.7056725806008387,0.7068528738758368,0.7076670273999002,0.6983157830757153,0.714023033739431,0.0008782077707299757
v_x,2,pre_SC,196,0.7065120400975212,0.002794448035350388,0.705720961287985,0.7068022557510986,0.7076903142774456,0.6800895953947459,0.7131021781355964,0.0008782077707299757
