mouse_ID,group,date,phase,label,channel,window_start_s,window_end_s,source_interval_start_s,source_interval_end_s,dat_file,session,session_channel,qc_raw_mean,qc_raw_std,qc_raw_ptp,qc_clip_fraction,torus_fit_failed,spec_log_abs_slow,spec_rel_slow,spec_log_abs_delta,spec_rel_delta,spec_log_abs_theta,spec_rel_theta,spec_log_abs_alpha,spec_rel_alpha,spec_log_abs_sigma,spec_rel_sigma,spec_log_abs_beta,spec_rel_beta,spec_log_abs_low_gamma,spec_rel_low_gamma,spec_log_abs_high_gamma,spec_rel_high_gamma,spec_log_abs_hfo,spec_rel_hfo,ratio_theta_delta,ratio_gamma_delta,ratio_beta_delta,ratio_log10_theta_delta,ratio_log10_gamma_delta,ratio_log10_beta_delta,aperiodic_slope_2_120,aperiodic_offset_2_120,dyn_line_length,dyn_rms,dyn_ptp,dyn_autocorr_e_s,dyn_autocorr_zero_s,dyn_hjorth_mobility,torus_R1,torus_R2,torus_r,torus_mse,torus_mean_error,torus_frac_inside,torus_n_x,torus_n_y,torus_n_z,torus_u_x,torus_u_y,torus_u_z,torus_v_x,torus_v_y,torus_v_z,torus_tau_ms,torus_analysis_fs
ekez004,control,250829,sleep,2,18,2324.0,2326.0,2314.0,2342.0,LFP0_250829.dat,ekez004_250829,ekez004_250829_ch18,-17.70125,1218.86325049139,11199.0,0.0,0,-18.0,1.0992162758161852e-24,-18.0,1.0992162758161852e-24,5.223532527719975,0.1839143759966797,5.047148675017056,0.1225270070718429,4.993836041279793,0.108372524826277,5.15934958756333,0.1586473191864451,4.41984836594214,0.0289022408759292,4.229399522946075,0.0186415780351309,4.039449067615388,0.0120373868508614,183914375996.47763,47543818911.007935,158647319186.27075,11.26461567797066,10.677094063075078,11.200432737814014,-1.9848834388641856,6.344447643721392,0.0506789921518933,1.1681058857365554,11.099243003730834,0.025,0.097,0.0639318216576409,1.9875208915224327,0.326183412536517,0.1243644554800534,1.2037985037252024,0.5987923775321362,0.1217434869739478,-0.4903872825587415,0.8070730980131111,-0.3288667322292813,0.5742986070520939,0.5830949098152851,0.5746141627940693,0.6555161500992298,0.0929157715873464,-0.7494432842766771,2.0,2000
ekez004,control,250828,sleep,2,18,2564.0,2566.0,2280.0,2569.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch18,12.93895,1150.5912781361146,17382.0,0.0,0,-18.0,1.875007961562853e-24,-18.0,1.875007961562853e-24,5.151999946408565,0.2660743822749979,4.078610043631216,0.0224705219167933,3.5713993927152403,0.0069887983345959,4.182935342307082,0.0285718563820481,3.774107197381261,0.0111457760735627,3.583119393093203,0.0071799680095254,3.1371151594828635,0.0025710958989192,266074382274.49905,18325744083.05378,28571856381.994587,11.425003062554408,10.263061617397955,10.455938458452923,-2.177398262905158,6.003032490764418,0.0194451388119568,0.8553628616651356,4.523174065577139,0.0675,0.169,0.0318242782365924,1.8226988507048467,0.1287880661015317,0.0401777051528632,0.356752204275276,0.4240976910251519,0.034068136272545,0.1978432314255051,-0.7842007237826699,0.5881218246220362,-0.5766567127295641,-0.5782892560835062,-0.5771036059151926,0.7926695979038694,-0.2249683558096071,-0.5666252266191826,2.0,2000
ekez003,control,250909,sleep,2,12,2330.0,2332.0,2114.0,2428.0,LFP0_250909.dat,ekez003_250909,ekez003_250909_ch12,-71.594725,1218.0685677650397,19714.0,0.0,0,-18.0,8.7459464844142e-25,-18.0,8.7459464844142e-25,5.419066781308008,0.2295480442458881,5.04409384748273,0.0968056405769969,4.988440264244066,0.0851622407462901,5.141103895457396,0.1210349265773979,4.358448859551942,0.0199643729930029,4.030172690037252,0.0093751776443083,3.9123061356565634,0.0071468217638026,229548044245.6874,29339550637.28556,121034926577.29204,11.360873596919404,10.4674534579312,11.082910711068791,-2.2186851447229787,6.661169053173296,0.0302401392509461,0.9160705087842084,4.201460849461245,0.0335,0.1625,0.0471934996233484,1.942913744255469,0.2121350472328845,0.0696582397420961,0.3539296543653401,0.4412530592201458,0.0794088176352705,0.3581908142344772,-0.8098256430258426,0.4646307872868448,-0.5744337904694232,-0.5834634257435961,-0.5741047388625858,0.7360198101702826,-0.0612605804409446,-0.6741824532861561,2.0,2000
ekez003,control,250830,sleep,2,19,2433.0,2435.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19,79.97695,1167.3976493760374,19799.0,0.0,0,-18.0,1.3353221471537491e-24,-18.0,1.3353221471537491e-24,5.086347623310942,0.1629047228819888,4.631369971936508,0.0571420772600529,4.259039261640087,0.0242451744739689,5.1001408902622885,0.1681616431747057,4.708106126950985,0.0681855234808018,4.371012902044114,0.0313760995426086,4.1741352194078685,0.0199398217432885,162904722881.7713,99561623023.27763,168161643174.48114,11.21193367541814,10.998091967730732,11.225726942369487,-1.7745732642032437,6.119210223916704,0.0405460254207764,1.018388691680797,6.822057287446279,0.0425,0.13,0.0668298430003271,1.9535824482023056,0.2849171909302665,0.1174318435253196,0.6197705769063261,0.4910024295460161,0.1307615230460921,-0.2294669824446893,0.7900081366974517,-0.5685350014893763,0.5744594640470031,0.5814592613358626,0.5761088886413601,0.7857106516603992,-0.1944023440115522,-0.5872533529135487,2.0,2000
ekez003,control,250830,sleep,2,19,2555.0,2557.0,2383.0,2670.0,LFP0_250830.dat,ekez003_250830,ekez003_250830_ch19,-87.920225,1226.2978079410193,6913.0,0.0,0,-18.0,9.601196090698434e-25,-18.0,9.601196090698434e-25,5.47409206788789,0.2860338340546572,4.657434227445977,0.0436274236416507,4.501096003574312,0.0304383665874451,4.68823347150267,0.0468337368215542,4.396916260319827,0.0239464753897759,3.994890606827985,0.0094889016750178,3.545353342809757,0.0033703785521414,286033834054.3826,33435377064.761726,46833736821.5093,11.456417407513776,10.524206225284445,10.670558811128558,-2.1795294758088284,6.4807012233454495,0.0302519577658025,0.983014762220147,5.405519178122824,0.0435,0.073,0.041157874626817,1.9373057760608063,0.2060341152490597,0.0610018367001588,0.6189472488990777,0.5102496525200424,0.0561122244488977,-0.3381561007412217,0.8100254893042692,-0.4790711410718029,0.5750716490237469,0.5808188039999838,0.5761441793571613,0.744944997982208,-0.0806735619397226,-0.6622301158836299,2.0,2000
ekez004,control,250828,sleep,2,12,2344.0,2346.0,2280.0,2569.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,-11.248075,1133.20443117462,20210.0,0.0,0,-18.0,1.1352953951243548e-24,-18.0,1.1352953951243548e-24,5.227463570110161,0.191678078204664,5.087756508156299,0.1389521863102101,4.718155026022415,0.0593285729642128,4.9432355953201865,0.0996195261493915,4.254923947972531,0.0204189226651227,4.111018040181143,0.0146597618942592,3.8541027470187066,0.0081135631984569,191678078204.44644,35078684559.34217,99619526149.27844,11.28257244642401,10.545043299080252,10.998344471634038,-2.0375526722908,6.318568065908827,0.0351003976199565,0.9435580345614148,5.341064496339822,0.0295,0.058,0.0549220596716625,1.8336236482492396,0.2560268594147594,0.0824158289291351,0.4537796965285276,0.4844330371357613,0.0601202404809619,-0.5488162856476383,0.7959819332699697,-0.2553692356464273,0.5752573278478053,0.5812662442022242,0.5755072198560529,0.6065308659611688,0.1689447106523895,-0.7769028210638542,2.0,2000
ekez003,control,250906,sleep,2,19,1357.0,1359.0,1261.0,1696.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch19,-31.2059,1220.2939630495555,17675.0,0.0,0,-18.0,1.2178236632505463e-24,-18.0,1.2178236632505463e-24,5.25505414375923,0.2190980701457624,4.730812781539744,0.0655235154482026,4.4863866307015385,0.0373225268529412,4.762539791956914,0.0704894627366683,4.19243612127636,0.0189679558346911,3.981019464123072,0.011657458353385,3.5553016704933267,0.0043740735253201,219098070145.49567,30625414188.038822,70489462736.58252,11.34063855223504,10.4860819709518,10.848124200432723,-2.1127377042498323,6.342743706566904,0.0265049055132229,0.903627094812332,4.63501431114791,0.054,0.101,0.0389389004411055,1.850753787422488,0.180173383038455,0.0530951707405139,0.4068032235450664,0.442866285093789,0.0733967935871743,-0.4091784660671649,0.8139783169510975,-0.4123254569382055,-0.5755750685433884,-0.5808924225689429,-0.5755669673211437,-0.708015764920775,0.0018146443319969,0.7061942959891409,2.0,2000
ekez004,control,250828,mobile,0,18,482.0,484.0,480.0,771.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch18,79.180525,1297.147319133692,7368.0,0.0,0,-18.0,1.1157448238548851e-24,-18.0,1.1157448238548851e-24,5.448698263926517,0.3135184798143685,4.643102259529892,0.0490531769929704,4.255303909637529,0.0200848591454263,4.442315544056944,0.0308944469220598,4.276166192972781,0.0210732283748468,3.9170142109891626,0.0092167772520441,3.707113371673505,0.0056843165154843,313518479814.0187,30290005626.857136,30894446922.025333,11.496263144671424,10.48129935401007,10.489880424801852,-2.0672673484693598,6.216658621312791,0.0318537504080893,1.083790735247655,5.32289965053472,0.0425,0.0665,0.037932810836955,2.2271318271095653,0.2018899994975013,0.0636687643578333,0.6885758721851838,0.6112150792727412,0.0450901803607214,0.3516490554436001,-0.8119775651291992,0.4658705566266051,-0.5753473244170969,-0.5800295990330333,-0.5766637846524322,0.7384567679220281,-0.0652541030982907,-0.6711359802133914,2.0,2000
ekez004,control,250828,mobile,0,12,1204.0,1206.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,-521.339125,1421.028478486351,7585.0,0.0,0,-18.0,2.519531471408661e-24,-18.0,2.519531471408661e-24,4.97281490470685,0.2366653578185005,4.269612912681659,0.0468740738770909,4.012079034310212,0.0259059081742621,4.53954639085112,0.0872702416129571,4.331285627255551,0.0540263235009984,4.0585065625486685,0.02882878571473,3.6560966626430393,0.0114134371101399,236665357817.90424,82855109215.51974,87270241612.73726,11.374134692193635,10.918319294115548,10.940866178337906,-1.7176433927623285,5.690606421829312,0.0350134217188836,0.9013521359283057,4.981159285043674,0.134,0.2555,0.0492727637414128,1.8424095588504923,0.2366572756977483,0.0707370902553214,0.3899035356884617,0.4295285059201391,0.0728957915831663,-0.3743015427631044,0.8122267292218966,-0.4474216081299317,0.5749779464534118,0.5818312808571127,0.5752153698454078,0.7275291857894813,-0.0419535570872682,-0.6847928028755996,2.0,2000
ekez003,control,250906,mobile,0,19,804.0,806.0,780.0,825.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch19,4.55775,1716.0228644207912,10119.0,0.0,0,-18.0,4.765977760134821e-25,-18.0,4.765977760134821e-25,5.693311993569664,0.2352144535932442,5.46290422653069,0.1383745552310567,5.367820173591908,0.111166052720289,5.351429606511759,0.107048754315227,4.45763894098653,0.0136707062796198,4.100357806717143,0.0060049558423201,3.5004766814122887,0.0015087896382414,235214453593.1321,19675662121.930656,107048754315.176,11.371464005001368,10.293929356078744,11.029581617943462,-2.436482761557038,7.059560969284261,0.0352797537204768,1.1675759384857725,6.879279179073064,0.027,0.0875,0.0402272868227652,2.283033242912736,0.2579603492259107,0.0537797089732143,0.7551001136364952,0.5923465280471741,0.0273046092184368,0.5868255016352767,-0.783283035621728,0.205191414871189,-0.5737351165733234,-0.5810510070071517,-0.5772414947529066,0.5713701485372574,0.2210145093922013,-0.7903725324153396,2.0,2000
ekez004,control,250828,mobile,0,12,1050.0,1052.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,61.972475,1612.9403006830023,10882.0,0.0,0,-18.0,1.877651846718977e-24,-18.0,1.877651846718977e-24,5.101980691572102,0.237462896175767,4.6059321982572525,0.0757787203095735,4.219119611476724,0.0310981590353868,4.5170539705739445,0.0617545610771237,4.33885890523134,0.0409707556460002,4.0202981934684,0.0196749330038288,3.540917674692889,0.0065242822864902,237462896175.3211,60645688649.71514,61754561077.0078,11.375595760297038,10.782799931959527,10.790669039298882,-1.914828377522045,6.004725180603482,0.0337104861403252,1.158048806305635,6.07770496715208,0.157,0.2915,0.0371212957289851,2.567044061660222,0.2061009410041993,0.064319986089748,0.7576247720252246,0.6280141545179253,0.0435871743486974,0.5967404209980168,-0.7772707398551031,0.199376696008914,-0.5713263000474038,-0.5860194239348735,-0.5746020306639918,0.5634599620378473,0.2289791076383862,-0.7937766936887453,2.0,2000
ekez004,control,250828,mobile,0,18,1280.0,1282.0,798.0,2280.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch18,202.47465,1336.983806804472,19239.0,0.0,0,-18.0,7.927005713781762e-25,-18.0,7.927005713781762e-25,5.463922266429453,0.2306914175331113,4.866869914678727,0.0583417008294496,4.413348528152179,0.0205332502128773,4.664372091350678,0.0366000149325398,4.469679913329915,0.0233770165638978,3.891869317757135,0.0061798578996869,3.588700060892715,0.0030747459074385,230691417532.92847,29556874463.561405,36600014932.51088,11.363031437661869,10.470658507023328,10.563481262583093,-2.325454998510713,6.716355197920337,0.0243814446898126,0.8751819149897176,4.039236161857494,0.052,0.1145,0.0351640713264297,1.8568715828871836,0.1756555933941958,0.0423613478998492,0.3263956278619058,0.4222646368221444,0.0435871743486974,0.5268662785199759,-0.8002999097355172,0.2862376268675327,-0.5738139000009188,-0.583358177468736,-0.574831144723466,0.6270163735681116,0.1386120169980381,-0.7665749643832819,2.0,2000
ekez004,control,250828,immobile,1,12,777.0,779.0,771.0,798.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,45.2688,1549.0710504029698,10523.0,0.0,0,-18.0,7.91988730949021e-25,-18.0,7.91988730949021e-25,5.563449347948344,0.2898466932873866,4.940578058492815,0.0690712094475169,4.788749440729119,0.0486932141943852,4.859785018325481,0.0573461175321718,4.253018157189382,0.0141819894946118,3.9590470687995407,0.0072071916531569,3.806520625054858,0.0050727052367768,289846693287.15704,21389181147.75194,57346117532.12644,11.462168350091186,10.330194158586488,10.758504020468324,-2.3077843617357434,6.6771133108394505,0.0381680492468182,1.4541619478712406,9.157808963830623,0.0475,0.075,0.0359489031768501,2.8655327387439984,0.2484012976638454,0.0842754230821063,1.7017072182059387,0.8345682048871101,0.0561122244488977,0.4816349760548905,-0.8103235195953141,0.3337716935729715,-0.5761730693444709,-0.5797610542116769,-0.5761091165565223,0.6603425959311414,0.0851640394114932,-0.7461197909103062,2.0,2000
ekez004,control,250828,immobile,1,12,779.0,781.0,771.0,798.0,LFP0_250828.dat,ekez004_250828,ekez004_250828_ch12,103.074025,1324.37375793063,7438.0,0.0,0,-18.0,9.305419188079203e-25,-18.0,9.305419188079203e-25,5.330320199855236,0.1990930692249674,4.652354753457773,0.0417917632844266,4.833029176364984,0.0633526984891231,5.01087032740952,0.0954127183579379,4.492912387776632,0.0289499841085902,3.9039416100918447,0.0074589475277132,3.470368990406162,0.0027485581672569,199093069224.78217,36408931636.26957,95412718357.8492,11.299056141746028,10.561207935421717,10.97960626930031,-2.2820653239547304,6.657544470286624,0.0271772761558838,0.965540503166068,4.870506175144509,0.055,0.092,0.0360718346612661,2.0762529871266158,0.1890068672422779,0.0454279203777408,0.4099658080970584,0.4795755418770348,0.0195390781563126,-0.6651071954897163,0.7421730511787853,-0.082532300409071,0.5759412127437783,0.5801807483854166,0.575918413201179,0.4753147777730972,0.3355137274471512,-0.8133304375978008,2.0,2000
ekez004,control,250829,immobile,1,12,488.0,490.0,460.0,504.0,LFP0_250829.dat,ekez004_250829,ekez004_250829_ch12,262.336525,1681.4951720792792,9611.0,0.0,0,-18.0,1.0389588765442243e-24,-18.0,1.0389588765442243e-24,5.401544863511671,0.2619046573715477,4.818769386412317,0.068449100333633,4.505627600204936,0.0332832677030054,4.80714782738029,0.066641718121013,4.4772650267443534,0.0311790863410204,4.119818519180465,0.0136904233193484,3.910098411167161,0.0084468886477979,261904657371.2756,44869509660.32225,66641718120.943794,11.418143221421264,10.651951323533968,10.823746185289885,-2.060115251055297,6.393191173612291,0.0326907339632008,1.0176519932906645,5.512445867209016,0.052,0.3145,0.042211012787027,2.0907071478356585,0.2064380759550464,0.067320523114694,0.5743141852533834,0.5339216478154406,0.0503507014028056,0.2701564692501625,-0.7998168118879151,0.5360117065352032,0.5758016862223159,0.5803986937287101,0.5758383231945793,-0.771665666117069,0.1530699962047628,0.6173343308094683,2.0,2000
