mouse_ID,group,date,phase,label,channel,window_start_s,window_end_s,source_interval_start_s,source_interval_end_s,dat_file,session,session_channel,torus_R1,torus_R2,torus_r,torus_mse,torus_mean_error,torus_frac_inside,torus_n_x,torus_n_y,torus_n_z,torus_u_x,torus_u_y,torus_u_z,torus_v_x,torus_v_y,torus_v_z,torus_tau_ms,torus_analysis_fs,torus_fit_failed
ekez003,control,250906,sleep,2,12,1507.0,1509.0,1261.0,1696.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.05601008159764,0.2889213026276742,0.2136890443427912,0.47560272466043635,0.459226895054557,0.17418546365914786,-0.6256574490993243,0.7652860997427493,-0.1512942230426662,0.5751465609049143,0.5835493394661233,0.5733032372888721,0.5270286423565375,0.27167508893490205,-0.8052536595297397,2.0,400.0,0
ekez003,control,250906,sleep,2,12,1569.0,1571.0,1261.0,1696.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.309267287099347,0.43234238657718294,0.24836195281932522,1.1518039774212974,0.634088367190357,0.17543859649122806,0.27147570450353525,-0.7922182551654672,0.5465264660069317,0.5712854945536796,0.5896350134640915,0.5709320753012203,-0.7745539526559468,0.15722845505344857,0.6126543783770382,2.0,400.0,0
ekez003,control,250906,sleep,2,12,1629.0,1631.0,1261.0,1696.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.143189363666006,0.27069982315664043,0.126015016422984,0.8286061545020351,0.5756159311041998,0.11904761904761904,-0.48252737678874663,0.8097712775960056,-0.3338230199206916,-0.5758653418143025,-0.580474971193955,-0.5756977643802985,-0.659959422044049,-0.08555282459749954,0.7464142787063189,2.0,400.0,0
ekez003,control,250906,sleep,2,12,1691.0,1693.0,1261.0,1696.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.298855810890018,0.3169329365483234,0.25184257087858386,0.7553742825371945,0.5179056710014086,0.22431077694235588,-0.1017657973222287,0.7464110417575441,-0.6576581781114857,-0.5744042659722907,-0.5838416548813865,-0.5737496503320924,-0.8122213132676445,0.3193735724295456,0.488156798073501,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2042.0,2044.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,1.9145305894915512,0.22195302197110672,0.09877843029371136,0.3683321330701164,0.43260770910188256,0.07518796992481203,0.18083121798741672,-0.7754900727115926,0.6049092640437169,0.5749026864551591,0.5823749811580097,0.5747401868895623,-0.7979893305714431,0.24383299293891836,0.551142903289691,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2044.0,2046.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.0599695926511457,0.3147446425326507,0.23724878304475316,0.9994669113764241,0.5698260126864018,0.24812030075187969,0.5264567565721325,-0.7998448332644809,0.28825600801838325,-0.5735160760279816,-0.5843827264239586,-0.5740872229833784,0.6276325310205833,0.13691264279120496,-0.7663761049554093,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2046.0,2048.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,1.881619795930602,0.3039122412351776,0.14385219762403484,0.5112857633907986,0.4782833793713315,0.12280701754385964,0.4538427726823745,-0.8107189395294497,0.3698128428964522,-0.5742741365406103,-0.5834429289382104,-0.5742852642812097,0.6813486286642866,0.048261265616051624,-0.7303662755470252,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2048.0,2050.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.4915199446778558,0.2837922982979712,0.13890227754104614,0.7758040032835679,0.6148557936198533,0.10776942355889724,-0.5515299737488618,0.7940864034389709,-0.2554241020912807,-0.5739196135694501,-0.5834491623286319,-0.5746332327113627,-0.6053354154642189,-0.17033454978403825,0.7775314629856664,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2052.0,2054.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.0715729101366165,0.26362831844986717,0.11332759572730897,0.444314280327168,0.48435659314436297,0.10025062656641603,-0.46698153461032954,0.8092559251519026,-0.35641702251513485,-0.5737518996568652,-0.5839960396239782,-0.57424505513034,-0.6728573429571426,-0.06366689334908787,0.7370274911547942,2.0,400.0,0
ekez003,control,250906,immobile,1,12,2054.0,2056.0,2040.0,2062.0,LFP0_250906.dat,ekez003_250906,ekez003_250906_ch12,2.1273834992041287,0.21074408850505358,0.1229290967580913,0.5761457786011439,0.5352082744128823,0.11278195488721804,0.5004386005661426,-0.806519521737022,0.31478161972952895,0.5754125276557629,0.5815030391342692,0.5751127180756956,-0.6468861028639219,-0.10667931633349842,0.7550880037360844,2.0,400.0,0
