fold,held_out,permuted_group,rep,base_r2,permuted_r2,r2_drop
0,ekez003_250830,torus,16,0.2042725826710593,-0.126705839778545,0.3309784224496043
0,ekez003_250830,torus,17,0.2042725826710593,-0.10801768542886792,0.3122902680999272
0,ekez003_250830,torus,18,0.2042725826710593,-0.11989917234842062,0.3241717550194799
0,ekez003_250830,torus,19,0.2042725826710593,-0.010915747209039983,0.21518832988009928
0,ekez003_250830,torus,20,0.2042725826710593,-0.03239626304935883,0.23666884572041813
0,ekez003_250830,torus,21,0.2042725826710593,-0.1443165840759857,0.348589166747045
0,ekez003_250830,torus,22,0.2042725826710593,-0.040273785109982585,0.24454636778104188
0,ekez003_250830,torus,23,0.2042725826710593,0.06518215180874731,0.139090430862312
0,ekez003_250830,torus,24,0.2042725826710593,-0.0281228404408167,0.232395423111876
0,ekez003_250830,torus,25,0.2042725826710593,-0.1258225559059225,0.3300951385769818
0,ekez003_250830,torus,26,0.2042725826710593,-0.16834708042025714,0.37261966309131644
0,ekez003_250830,torus,27,0.2042725826710593,-0.12461785966322547,0.32889044233428477
0,ekez003_250830,torus,28,0.2042725826710593,-0.02720610998005446,0.23147869265111376
0,ekez003_250830,torus,29,0.2042725826710593,-0.22849244571921257,0.43276502839027187
0,ekez003_250830,torus,30,0.2042725826710593,0.010829365436384908,0.1934432172346744
0,ekez003_250830,torus,31,0.2042725826710593,-0.04915313352725592,0.2534257161983152
0,ekez003_250830,torus,32,0.2042725826710593,-0.008079286020288068,0.21235186869134737
0,ekez003_250830,torus,33,0.2042725826710593,-0.010406895192152321,0.21467947786321162
0,ekez003_250830,torus,34,0.2042725826710593,-0.1541000151207792,0.3583725977918385
0,ekez003_250830,torus,35,0.2042725826710593,-0.09317317322884278,0.2974457558999021
0,ekez003_250830,torus,36,0.2042725826710593,-0.08270093971070569,0.286973522381765
0,ekez003_250830,torus,37,0.2042725826710593,-0.16272308037432626,0.36699566304538556
0,ekez003_250830,torus,38,0.2042725826710593,-0.10238010751472948,0.3066526901857888
0,ekez003_250830,torus,39,0.2042725826710593,-0.11151671107934069,0.3157892937504
0,ekez003_250830,torus,40,0.2042725826710593,-0.07611581117275534,0.28038839384381464
0,ekez003_250830,torus,41,0.2042725826710593,-0.07578214115219795,0.28005472382325725
0,ekez003_250830,torus,42,0.2042725826710593,-0.17766740396153624,0.38193998663259554
0,ekez003_250830,torus,43,0.2042725826710593,-0.06898960645611396,0.27326218912717326
0,ekez003_250830,torus,44,0.2042725826710593,-0.05678155117560024,0.26105413384665954
0,ekez003_250830,torus,45,0.2042725826710593,-0.11619833018502024,0.32047091285607954
0,ekez003_250830,torus,46,0.2042725826710593,-0.11857296961552288,0.3228455522865822
0,ekez003_250830,torus,47,0.2042725826710593,-0.11889220633958719,0.3231647890106465
0,ekez003_250830,torus,48,0.2042725826710593,-0.08485916939295102,0.2891317520640103
0,ekez003_250830,torus,49,0.2042725826710593,-0.04149469091149083,0.24576727358255013
0,ekez003_250830,torus,50,0.2042725826710593,-0.09586033520182613,0.30013291787288543
0,ekez003_250830,torus,51,0.2042725826710593,-0.07721919660418464,0.28149177927524394
0,ekez003_250830,torus,52,0.2042725826710593,-0.05534397966564164,0.25961656233670094
0,ekez003_250830,torus,53,0.2042725826710593,-0.11334444202484506,0.31761702469590436
0,ekez003_250830,torus,54,0.2042725826710593,0.051465160956261635,0.15280742171479766
0,ekez003_250830,torus,55,0.2042725826710593,-0.07666700638982094,0.28093958906088023
0,ekez003_250830,torus,56,0.2042725826710593,0.001981181844680324,0.20229140082637898
0,ekez003_250830,torus,57,0.2042725826710593,-0.041746020972803555,0.24601860364386285
0,ekez003_250830,torus,58,0.2042725826710593,-0.1537407277748315,0.3580133104458908
0,ekez003_250830,torus,59,0.2042725826710593,-0.1528016763440625,0.3570742590151218
0,ekez003_250830,torus,60,0.2042725826710593,-0.03058588260951489,0.2348584652805742
0,ekez003_250830,torus,61,0.2042725826710593,-0.10827217202863615,0.31254475469969545
0,ekez003_250830,torus,62,0.2042725826710593,-0.2948589519028362,0.4991315345738955
0,ekez003_250830,torus,63,0.2042725826710593,0.026244866865072103,0.1780277158059872
0,ekez003_250830,torus,64,0.2042725826710593,-0.07731358862866222,0.2815861712997215
0,ekez003_250830,torus,65,0.2042725826710593,-0.02349711525455067,0.22776969792560997
0,ekez003_250830,torus,66,0.2042725826710593,-0.1284383986275015,0.3327109812985608
0,ekez003_250830,torus,67,0.2042725826710593,-0.17811427732613905,0.38238685999719835
0,ekez003_250830,torus,68,0.2042725826710593,-0.06467710081461453,0.26894968348567383
0,ekez003_250830,torus,69,0.2042725826710593,-0.041149985153636104,0.2454225678246954
0,ekez003_250830,torus,70,0.2042725826710593,-0.12086665358458726,0.32513923625564656
0,ekez003_250830,torus,71,0.2042725826710593,-0.13438781273294942,0.3386603954040087
0,ekez003_250830,torus,72,0.2042725826710593,-0.0034698944675575216,0.20774247713861682
0,ekez003_250830,torus,73,0.2042725826710593,-0.0768973986699164,0.2811699813409757
0,ekez003_250830,torus,74,0.2042725826710593,-0.034116065129693895,0.2383886478007532
0,ekez003_250830,torus,75,0.2042725826710593,-0.1744597642879666,0.3787323469590259
0,ekez003_250830,torus,76,0.2042725826710593,-0.26360656207415345,0.46787914474521275
0,ekez003_250830,torus,77,0.2042725826710593,-0.20175103682181472,0.406023619492874
0,ekez003_250830,torus,78,0.2042725826710593,0.03257817399856666,0.17169440867249264
0,ekez003_250830,torus,79,0.2042725826710593,-0.09952678350970201,0.3037993661807613
0,ekez003_250830,torus,80,0.2042725826710593,-0.23408651009978954,0.43835909277084883
0,ekez003_250830,torus,81,0.2042725826710593,-0.0899214912717905,0.2941940739428498
0,ekez003_250830,torus,82,0.2042725826710593,0.025580961917848644,0.17869162075321066
0,ekez003_250830,torus,83,0.2042725826710593,-0.15921203607932255,0.36348461875038185
0,ekez003_250830,torus,84,0.2042725826710593,0.0032359163651953793,0.20103666630586392
0,ekez003_250830,torus,85,0.2042725826710593,0.01353341235788974,0.19073917031316956
0,ekez003_250830,torus,86,0.2042725826710593,-0.05838511050382822,0.2626576931748875
0,ekez003_250830,torus,87,0.2042725826710593,-0.14667024589705857,0.35094282856811787
0,ekez003_250830,torus,88,0.2042725826710593,-0.056250118428595064,0.26052270109965436
0,ekez003_250830,torus,89,0.2042725826710593,-0.07801483594169856,0.28228741861275786
0,ekez003_250830,torus,90,0.2042725826710593,-0.010523407693015185,0.21479599036407448
0,ekez003_250830,torus,91,0.2042725826710593,-0.04759979960249949,0.2518723822735588
0,ekez003_250830,torus,92,0.2042725826710593,-0.10339926368808072,0.30767184635914
0,ekez003_250830,torus,93,0.2042725826710593,-0.164479428487891,0.3687520111589503
0,ekez003_250830,torus,94,0.2042725826710593,-0.12410682959061958,0.3283794122616789
0,ekez003_250830,torus,95,0.2042725826710593,-0.07061257010524913,0.27488515277630843
0,ekez003_250830,torus,96,0.2042725826710593,0.02698430285819975,0.17728827981285955
0,ekez003_250830,torus,97,0.2042725826710593,0.01394096709297743,0.19033161557808187
0,ekez003_250830,torus,98,0.2042725826710593,-0.04136704750805009,0.2456396301791094
0,ekez003_250830,torus,99,0.2042725826710593,0.015892092219742193,0.1883804904513171
1,ekez003_250906,spectrum,0,0.359210155056662,-0.4347789940793667,0.7939891491360287
1,ekez003_250906,spectrum,1,0.359210155056662,-0.4635684455773066,0.8227786006339686
1,ekez003_250906,spectrum,2,0.359210155056662,-0.4516038824490485,0.8108140375057105
1,ekez003_250906,spectrum,3,0.359210155056662,-0.3924105740871495,0.7516207291438115
