split,fold,held_out,n_train,n_test,accuracy,macro_f1,f1_mobile,f1_immobile,f1_sleep,confusion,feature_set
leave_session_out,4,ekez004_250829,498,168,0.8452380952380952,0.8096863026819924,0.9655172413793104,0.796875,0.6666666666666666,"[[0.9722222222222222, 0.027777777777777776, 0.0], [0.05, 0.85, 0.1], [0.0, 0.4166666666666667, 0.5833333333333334]]",spectrum_plus_torus
leave_session_out,5,ekez004_250911,471,159,0.7735849056603774,0.7737047898338222,0.7741935483870968,0.7741935483870968,0.7727272727272727,"[[0.6666666666666666, 0.2777777777777778, 0.05555555555555555], [0.014492753623188406, 0.8695652173913043, 0.11594202898550725], [0.0, 0.2916666666666667, 0.7083333333333334]]",spectrum_plus_torus
leave_session_out,0,ekez003_250830,642,68,0.6617647058823529,0.5930555555555556,0.6666666666666666,0.3125,0.8,"[[1.0, 0.0, 0.0], [0.5833333333333334, 0.4166666666666667, 0.0], [0.020833333333333332, 0.3125, 0.6666666666666666]]",all_features
leave_session_out,1,ekez003_250906,624,106,0.7641509433962265,0.6457264957264957,0.9487179487179487,0.2,0.7884615384615384,"[[0.925, 0.075, 0.0], [0.0, 0.16666666666666666, 0.8333333333333334], [0.020833333333333332, 0.125, 0.8541666666666666]]",all_features
leave_session_out,2,ekez003_250909,576,122,0.7622950819672131,0.7319488275815264,0.7872340425531915,0.5454545454545454,0.8631578947368421,"[[0.925, 0.025, 0.05], [0.4411764705882353, 0.4411764705882353, 0.11764705882352941], [0.041666666666666664, 0.10416666666666667, 0.8541666666666666]]",all_features
leave_session_out,3,ekez004_250828,534,177,0.5819209039548022,0.5061199969963205,0.43478260869565216,0.34782608695652173,0.7357512953367875,"[[0.2777777777777778, 0.3194444444444444, 0.4027777777777778], [0.0, 0.36363636363636365, 0.6363636363636364], [0.0, 0.013888888888888888, 0.9861111111111112]]",all_features
leave_session_out,4,ekez004_250829,498,168,0.8392857142857143,0.8181690422337761,0.9251700680272109,0.7874015748031497,0.7419354838709677,"[[0.9444444444444444, 0.05555555555555555, 0.0], [0.11666666666666667, 0.8333333333333334, 0.05], [0.0, 0.3611111111111111, 0.6388888888888888]]",all_features
leave_session_out,5,ekez004_250911,471,159,0.7421383647798742,0.7600118912424496,0.8125,0.7388535031847133,0.7286821705426356,"[[0.7222222222222222, 0.2777777777777778, 0.0], [0.014492753623188406, 0.8405797101449275, 0.14492753623188406], [0.0, 0.3472222222222222, 0.6527777777777778]]",all_features
leave_channel_out,0,12,420,316,0.7658227848101266,0.7629059357305215,0.8645833333333334,0.6519337016574586,0.7722007722007722,"[[0.8469387755102041, 0.061224489795918366, 0.09183673469387756], [0.10465116279069768, 0.686046511627907, 0.20930232558139536], [0.015151515151515152, 0.22727272727272727, 0.7575757575757576]]",native_spectrum
leave_channel_out,1,18,516,168,0.7083333333333334,0.7072057759848293,0.6987951807228916,0.7244094488188977,0.6984126984126984,"[[0.5370370370370371, 0.2037037037037037, 0.25925925925925924], [0.0, 0.8518518518518519, 0.14814814814814814], [0.0, 0.26666666666666666, 0.7333333333333333]]",native_spectrum
leave_channel_out,2,19,420,316,0.7753164556962026,0.7692655172165757,0.8631578947368421,0.6549707602339181,0.7896678966789668,"[[0.8367346938775511, 0.05102040816326531, 0.11224489795918367], [0.10465116279069768, 0.6511627906976745, 0.2441860465116279], [0.007575757575757576, 0.18181818181818182, 0.8106060606060606]]",native_spectrum
leave_channel_out,0,12,420,316,0.6708860759493671,0.6572478238607271,0.783410138248848,0.48,0.7083333333333334,"[[0.8673469387755102, 0.07142857142857142, 0.061224489795918366], [0.313953488372093, 0.4883720930232558, 0.19767441860465115], [0.05303030303030303, 0.30303030303030304, 0.6439393939393939]]",highrate_dynamics
leave_channel_out,1,18,516,168,0.5773809523809523,0.5594771241830065,0.7450980392156863,0.6,0.3333333333333333,"[[0.7037037037037037, 0.24074074074074073, 0.05555555555555555], [0.037037037037037035, 0.8333333333333334, 0.12962962962962962], [0.13333333333333333, 0.6333333333333333, 0.23333333333333334]]",highrate_dynamics
leave_channel_out,2,19,420,316,0.6962025316455697,0.6831263224389282,0.8018433179723502,0.5232558139534884,0.7242798353909465,"[[0.8877551020408163, 0.04081632653061224, 0.07142857142857142], [0.29069767441860467, 0.5232558139534884, 0.18604651162790697], [0.05303030303030303, 0.2803030303030303, 0.6666666666666666]]",highrate_dynamics
