feature,stage,stage_name,bin_index,bin_lower,bin_upper,count,stage_n,fraction
band_half_width,4,pre_GO,6,0.75,0.875,38,196,0.19387755102040816
band_half_width,4,pre_GO,7,0.875,1.0,40,196,0.20408163265306123
band_half_width,4,pre_GO,8,1.0,1.125,38,196,0.19387755102040816
band_half_width,4,pre_GO,9,1.125,1.25,24,196,0.12244897959183673
band_half_width,4,pre_GO,10,1.25,1.375,19,196,0.09693877551020408
band_half_width,4,pre_GO,11,1.375,1.5,8,196,0.04081632653061224
band_half_width,4,pre_GO,12,1.5,1.625,9,196,0.04591836734693878
band_half_width,4,pre_GO,13,1.625,1.75,3,196,0.015306122448979591
band_half_width,4,pre_GO,14,1.75,1.875,0,196,0.0
band_half_width,4,pre_GO,15,1.875,2.0,0,196,0.0
band_half_width,4,pre_GO,16,2.0,2.125,0,196,0.0
band_half_width,4,pre_GO,17,2.125,2.25,2,196,0.01020408163265306
band_half_width,4,pre_GO,18,2.25,2.375,0,196,0.0
band_half_width,4,pre_GO,19,2.375,2.5,0,196,0.0
band_half_width,5,post_GO,0,0.0,0.125,0,195,0.0
band_half_width,5,post_GO,1,0.125,0.25,0,195,0.0
band_half_width,5,post_GO,2,0.25,0.375,0,195,0.0
band_half_width,5,post_GO,3,0.375,0.5,3,195,0.015384615384615385
band_half_width,5,post_GO,4,0.5,0.625,13,195,0.06666666666666667
band_half_width,5,post_GO,5,0.625,0.75,35,195,0.1794871794871795
band_half_width,5,post_GO,6,0.75,0.875,38,195,0.19487179487179487
band_half_width,5,post_GO,7,0.875,1.0,36,195,0.18461538461538463
band_half_width,5,post_GO,8,1.0,1.125,30,195,0.15384615384615385
band_half_width,5,post_GO,9,1.125,1.25,15,195,0.07692307692307693
band_half_width,5,post_GO,10,1.25,1.375,11,195,0.05641025641025641
band_half_width,5,post_GO,11,1.375,1.5,8,195,0.041025641025641026
band_half_width,5,post_GO,12,1.5,1.625,2,195,0.010256410256410256
band_half_width,5,post_GO,13,1.625,1.75,1,195,0.005128205128205128
band_half_width,5,post_GO,14,1.75,1.875,2,195,0.010256410256410256
band_half_width,5,post_GO,15,1.875,2.0,0,195,0.0
band_half_width,5,post_GO,16,2.0,2.125,0,195,0.0
band_half_width,5,post_GO,17,2.125,2.25,0,195,0.0
band_half_width,5,post_GO,18,2.25,2.375,0,195,0.0
band_half_width,5,post_GO,19,2.375,2.5,1,195,0.005128205128205128
