original_trial_number,window_index,stage,stage_name,R1,R2,band_half_width
195,140,2,pre_SC,4.450267137250895,1.5709931174332608,1.2527985961893595
195,141,3,post_SC,3.972433762212783,1.6432219666394188,1.185050490922819
195,142,4,pre_GO,3.3847077027306343,1.198090741927484,0.9074931457350088
195,143,5,post_GO,4.336973146164465,0.7604140576955496,1.0310866595848045
205,144,0,pre_TC,4.273106171425622,1.274185378536776,1.1474322989834471
205,145,1,post_TC,4.458702470951415,1.371190617108628,1.240440017906934
205,146,2,pre_SC,5.048780702863458,1.5751935710823894,1.4485058556701669
205,147,3,post_SC,8.258576667715467,2.404069882823259,2.411160365688904
205,148,4,pre_GO,3.085165636448693,1.4583573495018924,0.9706358251544978
205,149,5,post_GO,3.822909365182662,1.3388621839658228,1.0402318781957791
262,150,0,pre_TC,3.705193041075383,1.0804209055496985,1.0026401400351446
262,151,1,post_TC,3.8841023482473807,1.1790951725150858,1.0880113504868834
262,152,2,pre_SC,4.953414031887497,1.2703918573835924,1.334543394016991
262,153,3,post_SC,3.698106216995837,1.3091017540656584,1.1081620383349489
262,154,4,pre_GO,2.641130128363887,0.9653984464694064,0.6922985539243759
262,155,5,post_GO,3.0917501397007863,0.6589446794754442,0.6720883514722096
571,156,0,pre_TC,3.5419221727879115,1.32122948612447,0.992414636004434
571,157,1,post_TC,3.357326752578242,1.2600499316020846,0.8330328446502024
571,158,2,pre_SC,3.527216680944822,1.2048486559981926,0.8996795097787977
571,159,3,post_SC,5.441246998803428,1.6972378887496775,1.3161330267316182
571,160,4,pre_GO,3.3473984025591723,1.2925289351805294,0.9258473277224728
571,161,5,post_GO,3.303597619241975,0.978810684843588,0.9049481030290196
601,162,0,pre_TC,3.956715983600827,1.1631232054555207,1.0684889723425162
601,163,1,post_TC,3.722068781704242,1.1495764607815646,0.9999478090452232
601,164,2,pre_SC,4.776941627397395,1.5902766531223145,1.359476350021951
601,165,3,post_SC,4.035964384187753,0.755686287010667,0.8941146828422266
601,166,4,pre_GO,3.048301102303215,0.9940849581736484,0.7371731062634616
601,167,5,post_GO,3.010400541022044,1.1108116215516524,0.744609717928086
349,168,0,pre_TC,5.439788820376839,1.0861968183685382,1.3262551617265117
349,169,1,post_TC,5.5227990881795535,1.572612771880321,1.596299196691616
349,170,2,pre_SC,5.399674412722078,1.326578407888772,1.4594592170368188
349,171,3,post_SC,3.850221937408022,1.055800981865627,0.946374570771849
349,172,4,pre_GO,3.3845046691739222,1.1225535981092591,0.9281402253041642
349,173,5,post_GO,3.235482228649658,0.8680958133341838,0.8000744495697366
236,174,0,pre_TC,4.366659377527206,1.3405552409139228,1.0038151795477714
236,175,1,post_TC,4.014888093546929,1.102527719738892,0.9584809777172392
236,176,2,pre_SC,5.15864584081141,1.161618748492069,1.330785831892295
236,177,3,post_SC,4.390321183409437,1.5116701524384537,1.2501692955349375
236,178,4,pre_GO,3.5595410620715398,1.2159886460101492,0.9851639138487368
236,179,5,post_GO,3.564236368011045,0.9850857677973188,0.978848260933297
569,180,0,pre_TC,6.475729264680396,1.475837848502992,1.6284172081829258
569,181,1,post_TC,4.41958995535485,1.075016551893653,1.1348621989274068
569,182,2,pre_SC,2.830153907183817,1.1172699999496984,0.7089887698644997
569,183,3,post_SC,3.429053636591473,0.97422236228016,0.8096841788102217
569,184,4,pre_GO,6.349476011747584,1.5324636235252411,1.7139850788318405
569,185,5,post_GO,2.494071297845444,0.9256779433249608,0.6233426090070195
276,186,0,pre_TC,4.23382601305705,1.259740855269906,1.2284721970504788
276,187,1,post_TC,4.1951914134396455,1.2044361662217908,1.125260431223109
276,188,2,pre_SC,4.645368405835132,1.6764047151503847,1.298237933917136
276,189,3,post_SC,3.106728102810396,1.143485871610666,0.8971239589765151
276,190,4,pre_GO,4.812862553700177,1.6399316235218324,1.4355358647685548
276,191,5,post_GO,3.968956601148705,0.9659238872318446,1.0206324958024622
40,192,0,pre_TC,3.231351195846893,1.1768281603350303,0.7860225052354378
40,193,1,post_TC,2.6698713012704065,1.204777391292396,0.7609113750202818
40,194,2,pre_SC,2.7920818302067576,0.884887632814865,0.6197465309643757
40,195,3,post_SC,3.0779741290180125,1.1371249745046337,0.9093524032024244
40,196,4,pre_GO,4.261384183477893,1.2011252858641188,1.17450378983393
40,197,5,post_GO,2.829475992398893,0.7320132656883848,0.6097670828225122
98,198,0,pre_TC,2.962936521789888,1.079882518469217,0.8055607646957315
98,199,1,post_TC,3.9717405958710224,1.0520804575642853,1.0218123931233571
98,200,2,pre_SC,4.573304799235928,1.5077813017083754,1.3609319641790676
98,201,3,post_SC,7.023327614973812,1.844636354436045,1.8564101798811736
98,202,4,pre_GO,6.129140730234192,1.4901763216286492,1.3414660563015273
98,203,5,post_GO,3.199603325884396,1.0513985382603377,0.8571294105034105
260,204,0,pre_TC,3.2770721526092994,1.216354127645486,0.8910694968185526
260,205,1,post_TC,4.893298710731728,1.1584582908316188,1.290249990564971
260,206,2,pre_SC,4.306944552345216,1.1402454546610017,1.1340889079272254
260,207,3,post_SC,4.138027145306522,1.270952522508995,1.1433116342414087
260,208,4,pre_GO,3.4914013163381195,1.117224631758151,0.8472467943708736
260,209,5,post_GO,3.121917747949704,1.049299319043001,0.8172944585864527
622,210,0,pre_TC,3.4886661010853186,1.5390595762666173,1.0432016515056382
622,211,1,post_TC,2.78900066404559,0.8438365165567172,0.6145084084335293
622,212,2,pre_SC,5.05923839110033,1.485361093599082,1.1276273122096554
622,213,3,post_SC,4.867559364583959,1.260588055321905,1.2141858448707596
622,214,4,pre_GO,4.014326758555923,1.2590532894514008,1.037129881487212
622,215,5,post_GO,2.137563837173945,0.7447636988245159,0.4958490225810323
198,216,0,pre_TC,4.956993627698488,1.6603784447162482,1.3413623065620668
198,217,1,post_TC,4.936124881199618,1.3697113121638906,1.3240590817579156
198,218,2,pre_SC,3.7293668249419696,1.1845270960734724,0.8507984257570913
198,219,3,post_SC,4.870334527301639,1.2308047745337776,1.3563393660516028
198,220,4,pre_GO,3.7627182406981374,1.552257476925865,1.0885683668673756
198,221,5,post_GO,2.709135880782114,0.8149277773605723,0.6289582791636088
628,222,0,pre_TC,3.956462928771319,0.9963397565525784,1.090121713709007
628,223,1,post_TC,3.684944950485842,1.091545201836218,0.8084700065990791
628,224,2,pre_SC,3.853566193903115,1.2268949484649725,0.9568144322576688
628,225,3,post_SC,7.099955266308822,1.862738849434777,2.103399900349124
628,226,4,pre_GO,3.7831237633776977,1.5136850080253474,1.0713140301323358
